Party_Id,Name,Abbreviation,Initials,Matched to democlub,Duplicate in MNIS?,Duplicate ID,Notes (inc. expanded name),Name of Party remaining in MNIS,Actioned
54,A,A,A,No,No,,No candidates associated with party,deleted,PG
1008,Abolish the Welsh Assembly Party,Abolish the Welsh Assembly Party,,Yes,No,,,No change,-
55,AC,AC,AC,No,No,,Alternate name for Animal Welfare Party,Animal Welfare Party,PG
1015,Advance Together,Advance Together,Advance Together,Yes,No,,,No change,-
231,Al-Zebabist Nation of Ooog,Al-Zebabist Nation of Ooog,Al-Zebabist Nation of Ooog,No,No,,,No change,-
1034,Alba Party,Alba,A,Yes,No,,,No change,-
181,All People's Party,All People's Party,All People's Party,Yes,No,,,No change,-
1,Alliance,Alliance,Alliance,Yes,No,,,No change,-
217,Alter Change - Politics. Only Different.,Alter Change - Politics. Only Different.,Alter Change - Politics. Only Different.,No,No,,,No change,-
56,Animal,Animal,Animal,No,No,,Animal Protection Party,Renamed - Animal Protection Party,PG
220,Animal Welfare Party,Animal Welfare Party,Animal Welfare Party,Yes,No,,,No change,-
2,Anti H Block,Anti H,,No,No,,"2 MPs, No candidates associated with party",No change,-
57,Anti-war,Anti-war,Anti-war,No,No,,Fight For An Anti-War Government! Name confirmed on constituency election results page: https://portal.southtyneside.info/elections/Constituency.aspx?id=245,Renamed - Fight For an Anti-War Government,AB
1025,Aontú,Aontú,Aontú,Yes,No,,,No change,-
196,Apni Party,Apni Party,Apni Party,Yes,No,,"Distinct party from Alliance Party of NI, which also uses the initials APNI",No change,-
58,Apol Dem,Apol Dem,Apol Dem,No,No,,"Apolitical Democrats, EC ID PP845",Renamed - Apolitical Democrats,AB
264,Ashfield Independents,Ashfield Independents,Ashfield Independents,Yes,No,,,No change,-
59,ATSP,ATSP,ATSP,Yes,No,,All The South Party,Renamed - All The South Party,AB
60,AWL,AWL,AWL,Yes,No,,Alliance for Workers' Liberty,Renamed - Alliance for Workers' Liberty,AB
61,BBCP,BBCP,BBCP,No,No,,"Beer, Baccy and Crumpet Party. Changed to Beer, Baccy and Scratchings for 2015 GE","Renamed - Beer, Baccy and Crumpet Party",AB
62,BCM,BCM,BCM,No,No,,"Basingstoke Common Man, may have stood officially as an Independent",Renamed - Basingstoke Common Man,AB
63,Beer,Beer,Beer,Yes,No,,Reduce Tax On Beer,Renamed - Reduce Tax On Beer,AB
249,"Beer, Baccy and Scratchings","Beer, Baccy and Scratchings","Beer, Baccy and Scratchings",No,No,,Later name of BBCP. The ER wouldn't allow the name in the 2015 GE.,No change,-
64,BEP,BEP,BEP,No,No,,"Blue Environment Party, EC ID PP857",Renamed - Blue Environment Party,AB
65,Best,Best,Best,Yes,No,,Best of a Bad Bunch,Renamed - Best of a Bad Bunch,AB
66,Better Bri,Better Bri,Better Bri,Yes,No,,The Better Britain Party,Renamed - The Better Britain Party,AB
272,Better for Bradford,Better for Bradford,Better for Bradford,Yes,No,,,No change,-
1010,Britain First,BF,,Yes,No,,,No change,-
1011,Birkenhead Social Justice Party,Birkenhead Social Justice Party,Birkenhead Social Justice Party,No,No,,,No change,-
267,Blue Revolution,Blue Revolution,Blue Revolution,Yes,No,,,No change,-
67,BNP,BNP,BNP,Yes,No,,,Renamed - British National Party,AB 
187,Bournemouth Independent Alliance,Bournemouth Independent Alliance,Bournemouth Independent Alliance,Yes,No,,,No change,-
68,BPEP,BPEP,BPEP,Yes,Yes,"69, 89, 1048",Bus-Pass Elvis Party,Church of the Militant Elvis Party,PG
1041,Breakthrough Party,Breakthrough Party,Breakthrough Party,No,No,,,No change,-
200,British Democratic Party,British Democratic Party,British Democratic Party,Yes,No,,,No change,-
190,British Independents,British Independents,British Independents,Yes,No,,,No change,-
3,Bishops,Bshp,,No,No,,Has HoL Order value (5). No candidates associated with party. ,No change,-
1026,Burnley and Padiham independent Party,Burnley and Padiham independent Party,Burnley and Padiham independent Party,No,No,,,No change,-
1006,The Brexit Party,BXT,BXT,No,No,,,No change,-
255,Campaign,Campaign,Campaign,Yes,No,,,No change,- 
208,Children of the Atom,Children of the Atom,Children of the Atom,No,No,,,No change,-
70,Christian,Christian,Christian,Yes,Yes,174,The Christian Party. Used only for 2010 GE candidates. ,Christian Party,PG
174,"Christian Party, Proclaiming Christ's Lordship","Christian Party, Proclaiming Christ's Lordship","Christian Party, Proclaiming Christ's Lordship",Yes,Yes,70,Used only for 2015 GE candidates,Christian Party,PG
256,Christian Peoples Alliance,Christian Peoples Alliance,Christian Peoples Alliance,Yes,Yes,80,,Christian Peoples Alliance,PG
69,Church of the Militant Elvis Party,Church of the Militant Elvis Party,CMEP,Yes,Yes,"68, 89, 1048",,kept,PG
71,CIP,CIP,CIP,No,No,,Campaign for Independent Politicians,Renamed - Campaign for Independent Politicians,AB
189,CISTAP,CISTAP,CISTAP,Yes,No,,Cannabis Is Safer Than Alcohol,Renamed - Cannabis Is Safer Than Alcohol,AB
277,Citizens Independent Social Thought Alliance,Citizens Independent Social Thought Alliance,Citizens Independent Social Thought Alliance,No,No,,,No change,-
204,Class War,Class War,Class War,Yes,No ,,,No change,- 
72,Clause 28,Clause 28,Clause 28,No,No ,,"Clause 28, Children's Protection Christian Democrats","Renamed -  Clause 28, Children's Protection Christian Democrats",AB
73,CLR,CLR,CLR,Yes,No,,Cannabis Law Reform,Renamed - Cannabis Law Reform,AB
74,CMGB,CMGB,CMGB,Yes,No,,Christian Movement for Great Britain,Renamed - Christian Movement for Great Britain,AB
75,CNBPG,CNBPG,CNBPG,No,Yes,242,Community Need Before Private Greed. Description for Lewisham People Before Profit.,People Before Profit,PG
76,Comm,Comm,Comm,Yes,No,,Communist Party of Britain,Renamed - Communist Party of Britain,AB
77,Comm Leagu,Comm Leagu,Comm Leagu,Yes,No,,Communist League,Renamed - Communist League Election Campaign,AB 
78,Common Good,Common Good,Common Good,Yes,Yes,141,,kept,PG
179,Communities United Party,Communities United Party,Communities United Party,No,No,,,No change,-
263,Compass Party,Compass Party,Compass Party,Yes,No,,,No change,-
4,Conservative,Con,C,Yes,No,,,No change,-
5,Conservative Independent,Con Ind,Con Ind,No,Yes,9,"5 Members holding this affiliation, No candidates associated with party",No change,-
274,Concordia,Concordia,Concordia,Yes,No,,,No change,-
211,Consensus,Consensus,Consensus,Yes,No,,,No change,-
79,Corn Dem,Corn Dem,Corn Dem,Yes,No,,Cornish Democrats,Renamed - The Cornish Democrats,AB
80,CPA,CPA,CPA,Yes,Yes,256,Christian Peoples Alliance,Christian Peoples Alliance,PG
81,CSP,CSP,CSP,Yes,No,,Common Sense Party,Renamed - Common Sense Party,AB
1007,Change UK - The Independent Group,CUK,,No,Yes,1004,"Alt name for The Independent Group for Change, no candidates associated with party but several members sat whilst this party had the name Change UK in April-June 2019",No change,-
1032,Cumbria First,Cumbria First,Cumbria First,Yes,No,,,No change,-
82,CURE,CURE,CURE,No,No,,"Citizens for Undead Rights and Equality, EC ID PP873",Renamed - Citizens for Undead Rights and Equality,AB
83,DDCP,DDCP,DDCP,Yes,No,,Direct Democracy (Communist) Party,Renamed - Direct Democracy (Communist) Party,AB
84,Deficit,Deficit,Deficit,Yes,No,,Cut The Deficit Party,Renamed - Cut The Deficit,AB 
85,Dem Lab,Dem Lab,Dem Lab,No,No,,"Democratic Labour Party, EC ID PP41",Renamed - Democratic Labour Party,AB
86,Dem2010,Dem2010,Dem2010,No,No,,Should be Democracy 2015,Renamed - Democracy 2015,AB
236,Democratic Reform Party,Democratic Reform Party,Democratic Reform Party,Yes,No,,,No change,-
278,Demos Direct Initiative Party,Demos Direct Initiative Party,Demos Direct Initiative Party,No,No,,,No change,-
203,Digital Democracy,Digital Democracy,Digital Democracy,Yes,No,,,No change,-
87,DN,DN,DN,No,No,,"Democratic Nationalists, EC ID PP706",Renamed - Democratic Nationalists,AB
7,Democratic Unionist Party,DUP,DUP,No,No,,,No change,-
88,EIP,EIP,EIP,No,No,,"English Independence Party, EC ID PP5",Renamed - English Independence Party,AB 
89,ELPP,ELPP,ELPP,Yes,Yes,"68, 69, 1048",Elvis Loves Pets,Church of the Militant Elvis Party,PG
90,Eng Dem,Eng Dem,Eng Dem,Yes,Yes,259,,Changed to English Democrats,PG
1046,English Constitution Party,English Constitution Party,English Constitution Party,Yes,No,,,No change,-
259,English Democrats,English Democrats,English Democrats,Yes,Yes,90,,Deleted,PG
91,EPA,EPA,EPA,No,No,,Equal Parenting Alliance,Renamed - Equal Parenting Alliance,AB 
92,Essex,Essex,Essex,Yes,No,,Peoples Party Essex,Renamed - Peoples Party Essex,AB
248,Europeans Party,Europeans Party,Europeans Party,Yes,No,,,No change,-
93,Expense,Expense,Expense,No,No,,A Vote Against MP Expense Abuse,Renamed - A Vote Against MP Expense Abuse,AB
94,FDP,FDP,FDP,No,No,,"Fancy Dress Party, EC ID PP188",Renamed - Fancy Dress Party,AB 
1002,For Britain Movement,For Britain Movement,For Britain Movement,Yes,No,,The For Britain Movement,Renamed - The For Britain Movement,AB
95,FR,FR,FR,Yes,No,,Freedom and Responsibility,Renamed - Freedom and Responsibility,AB
226,Free Public Transport Party,Free Public Transport Party,Free Public Transport Party,Yes,No,,,No change,-
1035,Freedom Alliance,Freedom Alliance,Freedom Alliance,Yes,No,,,No change,-
261,Friends Party,Friends Party,Friends Party,Yes,No,,,No change,-
222,Give Me Back Elmo,Give Me Back Elmo,Give Me Back Elmo,Yes,No,,,No change,-
96,GMVY,GMVY,GMVY,Yes,No,,Think this should be Movement for Active Democracy (MAD),Renamed - Movement for Active Democracy (M.A.D.),AB
281,Greater Manchester Homeless Voice,Greater Manchester Homeless Voice,Greater Manchester Homeless Voice,No,No,,,No change,-
44,Green Party,Green,Green,Yes,No,,,No change,-
97,Green Soc,Green Soc,Green Soc,Yes,No,,Alliance for green socialism,Renamed - Alliance For Green Socialism,AB
237,Guildford Greenbelt Group,Guildford Greenbelt Group,Guildford Greenbelt Group,Yes,No,,,No change,-
1021,Gwlad Gwlad,Gwlad Gwlad,Gwlad Gwlad,Yes,No,,,No change,-
1018,Heavy Woollen District Independents,Heavy Woollen District Independents,Heavy Woollen District Independents,Yes,No,,,No change,-
1037,Heritage Party,Heritage Party,Heritage Party,Yes,No,,,No change,-
247,Hoi Polloi,Hoi Polloi,Hoi Polloi,No,No,,,No change,-
98,Humanity,Humanity,Humanity,No,No,,,No change,-
99,ICHC,ICHC,ICHC,Yes,No,,"Independent Community and Health Concern, alt name for Independent Kidderminster Hospital and Health Concern",Renamed - Independent Kidderminster Hospital and Health Concern,AB
100,IFED,IFED,IFED,Yes,No,,Independents Federation UK,Renamed - Independents Federation UK,AB
1004,The Independent Group for Change,IGC,IGC,Yes,Yes,1007,,No change,-
11,Independent Labour Party,ILP,,No,No,"10, 43",No candidates associated with party or MPs associated with party - potentially delete?,,
258,Immigrants Political Party,Immigrants Political Party,Immigrants Political Party,Yes,No,,,No change,-
101,Impact,Impact,Impact,No,No ,,"Impact Party, EC ID PP797",Renamed - Impact Party,AB
8,Independent,Ind,Ind,Yes,No,,,No change,-
9,Independent Conservative,Ind Con,Ind,No,Yes,5,"24 Members holding this affiliation, across Commons and Lords",No change,-
102,Ind EACPS,Ind EACPS,Ind EACPS,No,No,,"Independent Ealing Acton Communities Public Services, EC ID PP838",Renamed - Independent Ealing Acton Communities Public Services,AB
10,Independent Labour,Ind Lab,Ind,No,No,"11, 43",No candidates associated with party. Possible duplicating these MNIS IDs,No change,-
12,Independent SDP,Ind SDP,,No,No,,No candidates associated with party,No change,-
13,Independent Socialist,Ind Soc,,No,No,,No candidates associated with party,No change,-
14,Independent Unionist,Ind U,,No,No,,No candidates associated with party,No change,-
176,Independence from Europe,Independence from Europe,Independence from Europe,Yes,No,,,No change,-
