List, Who should own it?, Description,,,
Houses, Parliament, Houses within Parliament. Commons and Lords (obviously),,,
Members, Parliament, Members of Commons and / or Lords (past and present),,,
House seat types, life peer," ""Assorted house seat types (elected",," bishop etc.)""", Parliament
Constituencies, Boundary Commissions?, Geographic parliamentary constituencies,,,
Parties, Electoral Commission, Political parties,,,
Committees, Parliament, Assorted types of Parliamentary committee,,,
Committee memberships, Parliament, Members who've been part of committees (past and present),,,
Committee chairs, Parliament, Members who've chaired committees (past and present),,,
Committee clerks, Parliament, Clerks allocated to a committee,,,
Government departments, Government?, Past and present government departments (some intricacies around name changes),,,
Government positions, Government?, Jobs in government (some intricacies around name changes),,,
Government incumbencies, Government?, People occupying Government positions,,,
Official opposition positions, Parliament?, Jobs in HM Official Opposition,,,
Official opposition incumbencies, Parliament?, People occupying Hm Official Opposition positions,,,
Parliamentary positions, Parliament, Defined jobs in Parliament,,,
Parliamentary incumbencies, Parliament, People occupying Parliament positions,,,
Other Parliaments, ?, Non-UK parliaments,,,
Members of other parliaments, ?, Members of the UK Parliament who have also been members of other parliaments,,,
Parliaments, Parliament / The Crown?, Parliamentary periods between general elections,,,
Sessions, Parliament, Parliamentary periods between prorogations,,,
Terms, Parliament, Parliamentary periods between recesses,,,
Commons sitting days, Parliament, Days on which the House of Commons sits,,,
Lords sitting days, Parliament, Days on which the House of Lords sits,,,
Commons tabling days, Parliament, Days on which motions etc. can be tabled in the House of Commons,,,
Lords tabling days, Parliament, Days on which motions etc. can be tabled in the House of Lords,,,
Commons printing days, Parliament, Days on which bill amendments are printed in the House of Commons,,,
Statutory days, Parliament, Days on which it's possible for a member to object to a Statutory Instrument,,,
Parliamentary constituency elections, Electoral Commission?, All parliamentary constituency elections including by-elections,,,
General Elections, Electoral Commission?, General elections to the UK Parliament,,,
Candidacy, Electoral Commission?, All candidacies in a parliamentary election,,,
Concepts, Parliament, House of Commons Library subject headings used to subject index parliamentary material,,,
Parliamentary blocs, Parliament, Political parties and other Member groupings in Parliament,,,
Procedures, Parliament, Parliamentary procedures,,,
Steps, Parliament, Steps in a Parliamentary procedure,,,
Work package, Parliament, Packages of work undertaken by Parliament,,,
Laid papers, Parliament, Papers laid into Parliament,,,
Laying bodies, Parliament, Organisations permitted to lay papers into Parliament,,,
Laying authority type, Parliament, Authorities by which a laying body may lay papers into Parliament,,,
Tabled parliamentary questions, Parliament, Tabled questions to the government,,,
Answering bodies, Parliament, Organisations required to be answerable to Parliament,,,
Arm length bodies, Government, Organisations called upon by the government to help provide answers to Parliament,,,
Library deposits, Parliament, Things deposited in the libraries of both Houses,,,
Formal bodies, Parliament, Committee like things in Parliament,,,
Formal body members, Parliament, Members of formal bodies (both Members and strangers),,,
Formal body chairs, Parliament, Chairs of formal bodies,,,
Formal body clerks, Parliament, Clerks of formal bodies,,,
Formal body internal experts, Parliament, Internal experts working with formal bodies,,,
Formal body external expert, Parliament, External experts working with formal bodies,,,
Formal body visits, Parliament, Visits outside Parliament made by formal bodies,,,
Formal body meeting attendees, Parliament, Attendance records for formal body meetings (Members and strangers),,,
Calls for oral evidence, Parliament, Calls by formal bodies for oral evidence,,,
Calls for written evidence, Parliament, Calls by formal bodies for written evidence,,,
Bills, Parliament, Bills presented to Parliament by government,,,
Acts, Government, Acts of Parliament,,,
Made statutory instruments, Government, Statutory instruments made by a minister,,,
Draft statutory instruments, Government, Statutory instruments laid before Parliament not yet made by a minister,,,
Proposed negative statutory instruments, Government, Instruments laid by government before Parliament under the EU Withdrawal Act to check if Parliament believes they are suitable for laying as made negative statutory instruments,,,
