id,triplestoreId,name,startOn,endOn,mnisDepartmentId,mnisAnsweringBodyId,sesId,governmentRegisterId,isLayingBody
HYfypSOE,HYfypSOE,HM Treasury,1/1/1900,,50,14,84102,D15,TRUE
81XBSIkF,81XBSIkF,"Department for Children, Schools and Families",28/6/2007,12/5/2010,12,,,D609,FALSE
qjSEa2Ms,qjSEa2Ms,Department of Health,1/1/1900,9/1/2018,33,,28755,D12,TRUE
Oj0eRddT,Oj0eRddT,Department for Education and Skills,8/6/2001,28/6/2007,17,,,D583,FALSE
XbTBTDMo,XbTBTDMo,Department for Work and Pensions,8/6/2001,,24,29,28667,D10,TRUE
mWvDgQ5B,mWvDgQ5B,Department of Trade and Industry,11/6/1983,28/6/2007,41,,,D586,FALSE
meUXnLac,meUXnLac,Department of Energy and Climate Change,3/10/2008,14/7/2016,31,,28735,D11,FALSE
NDZSYjeE,NDZSYjeE,Home Office,1/1/1900,,51,1,25060,D16,TRUE
eWg1zuN6,eWg1zuN6,"Department for Business, Innovation and Skills",5/6/2009,14/7/2016,11,26,28650,D3,FALSE
ZL6nMgfa,ZL6nMgfa,HM Household,1/1/1900,,48,,,,FALSE
g8hByIik,g8hByIik,Department for International Development,1/1/1900,1/9/2020,21,20,28663,D8,TRUE
iZhvs5JB,iZhvs5JB,Northern Ireland Office,1/1/1900,,80,21,59729,D19,TRUE
kv2Qqfn9,kv2Qqfn9,Wales Office,1/1/1900,,95,28,60306,,TRUE
7dSvuueH,7dSvuueH,Department for Education,12/5/2010,,99,60,348507,D6,TRUE
5LQ5Ar74,5LQ5Ar74,"Department for Environment, Food and Rural Affairs",8/6/2001,,18,13,28661,D7,TRUE
BRTNQywN,BRTNQywN,Ministry of Justice,1/5/2007,,67,54,46016,D18,TRUE
DkHdH4kZ,DkHdH4kZ,Ministry of Defence,19/12/1946,,64,11,45998,D17,TRUE
Qi473w3p,Qi473w3p,Welsh Office,1/1/1900,29/7/1999,97,,,OT590,FALSE
OxI80IaC,OxI80IaC,Department of Social Security,1/1/1988,8/6/2001,39,,,D584,FALSE
