id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
4105,Environmental Authorisations (Scotland) Regulations 2018 (Consequential Modifications) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224290,YlKTzMcK,1289,
3936,Proceeds of Crime Act 2002 (Recovery of Listed Assets: Code of Practice) Regulations 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221640,bAirMb02,1358,
1898,Pharmacy (Preparation and Dispensing Errors ? Registered Pharmacies) Order 2018,,SI,2018,,,,https://www.legislation.gov.uk/ukdsi/2018/9780111161524,1KYKLRLE,1270,
3817,Direct Payments to Farmers (Reductions and Simplifications) (England) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220438,l1Hxe5xm,10,
2108,Social Security Benefits Up-rating Order 2018,,SI,2018,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164327,ZfkCfOkU,528,
3935,Proceeds of Crime Act 2002 (Investigative Powers of Prosecutors: Code of Practice) Order 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221794,JDjlDEjK,1358,
4223,Internal Market Information System Regulation (Amendment etc.) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348226126,390SFgFv,1,
4047,Financial Markets and Insolvency (Transitional Provision) (EU Exit) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223514,yoSfTSDT,1,
1811,Scotland Act 1998 (Specification of Devolved Tax) (Wild Fisheries) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160244,TwbmTl6K,1289,
2038,Legal Services Act 2007 (Appeals from Licensing Authority Decisions) (General Council of the Bar) Order 2018,,SI,2018,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163719,tVj2JmpI,847,
2025,Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2017,,SI,2017,in accordance with article 1(1),,,https://www.legislation.gov.uk/ukdsi/2017/9780111163504,hTPxqHkt,176,
4188,Organics (Equivalence and Control Bodies Listing) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348225570,R6m4FRKK,10,
1742,Torridge (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111158869,QTMyFy8t,949,
1857,Proceeds of Crime Act 2002 (Recovery of Listed Assets: Code of Practice) (England and Wales and Scotland) Regulations 2018,,SI,2018,,2018-04-16 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111160855,JSIWkoEv,1358,
1782,Charitable Incorporated Organisations (Consequential Amendments) Order 2017,,SI,2017,,2018-01-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2017/9780111159880,EH2qHIcx,38,
4048,Calorie Labelling (Out of Home Sector) (England) Regulations 2021,,SI,2021,,2022-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348223538,uFGyH5l4,"1080, 1230",
4154,Health and Social Care Act 2008 (Regulated Activities) (Amendment) (Coronavirus) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224993,st4lp11z,1265,
3824,Whiplash Injury Regulations 2021,,SI,2021,,2021-05-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348220612,kXIRkJEV,1076,
1755,African Development Fund (Multilateral Debt Relief Initiative) (Amendment) Order 2017,,SI,2017,in accordance with Article 1.,,,https://www.legislation.gov.uk/ukdsi/2017/9780111158685,LSd63bRr,1307,
2063,Financial Services and Markets Act 2000 (Carrying on Regulated Activities by Way of Business) (Amendment) Order 2018,,SI,2018,in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163832,S1j4tidU,1282,
1913,European Parliamentary Elections Act 2002 (Amendment) Regulations 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111161791,pCKsZ2bR,757,
