id,title,royalassentdate,year,chapternumber,legislationgovuri,dataparliamenturi,triplestoreid
1,European Union (Withdrawal) Act 2018,2018-06-26,2018,16,https://www.legislation.gov.uk/id/ukpga/2018/16,http://data.parliament.uk/publicgeneralact/2018/16,Ma8CbL0w
2,Communications Act 2003,2003-07-17,2003,21,https://www.legislation.gov.uk/id/ukpga/2003/21,http://data.parliament.uk/pimsdata/PublicGeneralAct/4052,jme98KIR
3,Social Security (Up-rating of Benefits) Act 2020,2020-11-23,2020,23,https://www.legislation.gov.uk/id/ukpga/2020/23,http://data.parliament.uk/publicgeneralact/2020/23,FPwqPRgY
4,Direct Payments to Farmers (Legislative Continuity) Act 2020,2020-01-30,2020,2,https://www.legislation.gov.uk/id/ukpga/2020/2,http://data.parliament.uk/publicgeneralact/2020/2,0BFZKBVu
5,Supply and Appropriation (Anticipation and Adjustments) Act 2020,2020-03-16,2020,4,https://www.legislation.gov.uk/id/ukpga/2020/4,http://data.parliament.uk/publicgeneralact/2020/4,zRugH2P4
6,NHS Funding Act 2020,2020-03-16,2020,5,https://www.legislation.gov.uk/id/ukpga/2020/5,http://data.parliament.uk/publicgeneralact/2020/5,B5GflEoM
7,Sentencing Act 2020,2020-10-22,2020,17,https://www.legislation.gov.uk/id/ukpga/17/c,http://data.parliament.uk/publicgeneralact/2020/17,jAkKFgqO
8,Extradition (Provisional Arrest) Act 2020,2020-10-22,2020,18,https://www.legislation.gov.uk/id/ukpga/2020/18,http://data.parliament.uk/publicgeneralact/2020/18,9OgLWGNJ
9,Immigration and Social Security Co-ordination (EU Withdrawal) Act 2020,2020-11-11,2020,20,https://www.legislation.gov.uk/id/ukpga/2020/20,http://data.parliament.uk/publicgeneralact/2020/20,PsC7dVZU
10,Agriculture Act 2020,2020-11-11,2020,21,https://www.legislation.gov.uk/id/ukpga/2020/21,http://data.parliament.uk/publicgeneralact/2020/21,OzD21LYf
11,Supply and Appropriation (Main Estimates) Act 2019,2019-07-17,2019,21,https://www.legislation.gov.uk/id/ukpga/2019/21,http://data.parliament.uk/publicgeneralact/2019/21,O25X7oYn
12,European Union (Future Relationship) Act 2020,2020-12-31,2020,29,https://www.legislation.gov.uk/id/ukpga/2020/29,http://data.parliament.uk/publicgeneralact/2020/29,E8YsAwki
13,Regional Assemblies (Preparations) Act 2003,2003-05-08,2003,10,https://www.legislation.gov.uk/id/ukpga/2003/10,http://data.parliament.uk/pimsdata/PublicGeneralAct/4069,L14tN5F6
15,Trade (Disclosure of Information) Act 2020,2020-12-17,2020,28,https://www.legislation.gov.uk/id/ukpga/2020/28,http://data.parliament.uk/publicgeneralact/2020/28,MI4EAS76
16,Taxation (Post-transition Period) Act 2020,2020-12-17,2020,26,https://www.legislation.gov.uk/id/ukpga/2020/26,http://data.parliament.uk/publicgeneralact/2020/26,JGOV9nqm
17,United Kingdom Internal Market Act 2020,2020-12-17,2020,27,https://www.legislation.gov.uk/id/ukpga/2020/27,http://data.parliament.uk/publicgeneralact/2020/27,ucuEiEeE
18,European Union (Approvals) Act 2017,2017-12-07,2017,35,https://www.legislation.gov.uk/id/ukpga/2017/35,http://data.parliament.uk/publicgeneralact/2017/35,5dPz3mJA
19,Digital Economy Act 2017,2017-04-27,2017,30,https://www.legislation.gov.uk/id/ukpga/2017/30,http://data.parliament.uk/publicgeneralact/2017/30,phMoguyg
20,Higher Education and Research Act 2017,2017-04-27,2017,29,https://www.legislation.gov.uk/id/ukpga/2017/29,http://data.parliament.uk/publicgeneralact/2017/29,kfd9mRa2
21,Coroners and Justice Act 2009,2009-11-12,2009,25,https://www.legislation.gov.uk/id/ukpga/2009/25,http://data.parliament.uk/pimsdata/PublicGeneralAct/8401,ZatZC13t
22,Pension Schemes Act 2021,2021-02-11,2021,1,https://www.legislation.gov.uk/id/ukpga/2021/1,http://data.parliament.uk/publicgeneralact/2021/1,7SURklBK
23,High Speed Rail (West Midlands - Crewe) Act 2021,2021-02-11,2021,2,https://www.legislation.gov.uk/id/ukpga/2021/2,http://data.parliament.uk/publicgeneralact/2021/2,USBE7MHK
24,Medicines and Medical Devices Act 2021,2021-02-11,2021,3,https://www.legislation.gov.uk/id/ukpga/2021/3,http://data.parliament.uk/publicgeneralact/2021/3,YUtwwLGu
25,Banking Act 2009,2009-02-12,2009,1,https://www.legislation.gov.uk/id/ukpga/2009/1,http://data.parliament.uk/pimsdata/PublicGeneralAct/8166,KFDSTysB
26,Finance (No. 3) Act 2010,2010-12-16,2010,33,https://www.legislation.gov.uk/id/ukpga/2010/33,http://data.parliament.uk/pimsdata/Bill/8898,MHrbMLP5
27,Badgers (Further Protection) Act 1991,1991-07-25,1991,35,https://www.legislation.gov.uk/id/ukpga/1991/35,http://data.parliament.uk/pimsdata/Bill/6512,B8NMrLUn
28,Criminal Procedure (Insanity and Unfitness to Plead) Act 1991,1991-06-27,1991,25,https://www.legislation.gov.uk/id/ukpga/1991/25,http://data.parliament.uk/pimsdata/Bill/6527,5hhE1k20
29,Animal Health (Amendment) Act 1999,1998-05-21,1998,13,https://www.legislation.gov.uk/id/ukpga/1998/13,http://data.parliament.uk/pimsdata/Bill/4330,dDbsbQQJ
30,Video Recordings Act 2010,2010-01-21,2010,1,https://www.legislation.gov.uk/id/ukpga/2010/1,http://data.parliament.uk/pimsdata/Bill/8496,ABlH1bLq
31,Birds (Registration Charges) Act 1997,1997-03-21,1997,55,https://www.legislation.gov.uk/id/ukpga/1997/55,http://data.parliament.uk/pimsdata/PublicGeneralAct/4386,d7yz6bvw
32,Appropriation Act 1997,1997-03-21,1997,31,https://www.legislation.gov.uk/id/ukpga/1997/31,http://data.parliament.uk/pimsdata/PublicGeneralAct/4387,3sFFn6ZM
33,Consolidated Fund Act 1997,1997-03-19,1997,15,https://www.legislation.gov.uk/id/ukpga/1997/15,http://data.parliament.uk/pimsdata/PublicGeneralAct/4389,U4CV9KDK
34,Building Societies Act 1997,1997-03-21,1997,32,https://www.legislation.gov.uk/id/ukpga/1997/32,http://data.parliament.uk/pimsdata/PublicGeneralAct/4363,ovZlDncQ
35,Contract (Scotland) Act 1997,1997-03-21,1997,34,https://www.legislation.gov.uk/id/ukpga/1997/34,http://data.parliament.uk/pimsdata/PublicGeneralAct/4365,6EO36coh
36,Crime and Punishment (Scotland) Act 1997,1997-03-21,1997,48,https://www.legislation.gov.uk/id/ukpga/1997/48,http://data.parliament.uk/pimsdata/PublicGeneralAct/4379,A7Y2h2K3
37,Building Society (Distributions) Act 1997,1997-03-21,1997,41,https://www.legislation.gov.uk/id/ukpga/1997/41,http://data.parliament.uk/pimsdata/PublicGeneralAct/4372,6SknQeC5
38,Charities Act 2011,2011-12-14,2011,25,https://www.legislation.gov.uk/id/ukpga/2011/25,http://data.parliament.uk/pimsdata/PublicGeneralAct/9202,GwgrvFY1
39,Terrorism Prevention and Investigation Measures Act 2011,2011-12-14,2011,23,https://www.legislation.gov.uk/id/ukpga/2011/23,http://data.parliament.uk/pimsdata/PublicGeneralAct/9200,vjKqX735
40,Appropriation Act 2001,2001-05-11,2001,8,https://www.legislation.gov.uk/id/ukpga/2001/8,http://data.parliament.uk/pimsdata/PublicGeneralAct/4157,3eVCJlwO
41,National Insurance Contributions Act 2011,2011-03-22,2011,3,https://www.legislation.gov.uk/id/ukpga/2011/3,http://data.parliament.uk/pimsdata/PublicGeneralAct/9014,QfIlSDTE
