id,label,name,description,hassteptype,businessstepinhouse,businessstepinlegislature,memberof,actualisationnote,linknote,datenote,actualisedalongside,source,triplestoreid
2,Chamber debate (House of Lords),Chamber debate,"Debates in the House of Lords Chamber take place for affirmative instruments on a motion that ""the instrument be approved"". Debates in the Chamber can also take place for negative instruments, there are three possible motions for such instruments - that ""an Humble Address"" be presented to Her Majesty praying that the instrument be annulled; motions inviting the House to call on the government to take action or record a particular point of view, without annulling the instrument itself; or a neutral ""take note"" motion.",1,2,,"6, 4","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. ",Lords Hansard debate URL,Date of debate ,,779,vOCSRhjw
2462,Fatal amendment to legislative consent motion falls at dissolution (Senedd Cymru),Fatal amendment to legislative consent motion falls at dissolution,,1,,3,,,,,,,8NdcNEjW
37,Motion (prayer) to stop the instrument being law rejected (House of Commons),Motion (prayer) to stop the instrument being law rejected,"A statutory instrument laid under the made negative procedure becomes law on the day the Minister signs it and automatically remains law unless a motion – or ‘prayer’ – to reject it is agreed by either House within 40 sitting days of the instrument being laid.  In the Commons, such motions are usually tabled as an Early Day Motion.",1,1,,4,"Will usually follow a Commons debate, could be grouped together with the actual approval motion. ",V&P anchor link,Date of decision,22,809,rcvPN7gS
38,Delegated Legislation Committee (DLC) debate (House of Commons),Delegated Legislation Committee (DLC) debate,Debates in a Delegated Legislation Committee take place on a motion that the Committee has considered the instrument or treaty referred to it.,1,1,,"6, 4","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. ",Start of debate in Commons Hansard,Date of debate,,810,FLHAXypO
39,Instrument approved (House of Lords),Instrument approved,An affirmative instrument approved by the House of Lords. ,1,2,,4,To be added when the House of Lords approves an instrument. If the Commons have already approved then please actualise the bicameral step too. Do not add the bicameral step if the Commons have not approved. ,Lords minute individual link,Date of decision,42,811,nVheFQgh
40,Instrument approved (House of Commons),Instrument approved,An affirmative instrument approved by the House of Commons. ,1,1,,4,To be added when the House of Commons approves an instrument. If the instrument is laid in HoC only then it must be actualised alongside the 'Instrument approved by the House of Commons' step. If the instrument is also laid in the Lords and Lords have already approved then please actualise the bicameral step too. Do not add the bicameral step if the Lords have  not approved. ,V&P (anchor link),Date of decision,26,812,dnWpdwUf
41,Non-fatal motion (prayer) to object to the instrument withdrawn (House of Lords),Non-fatal motion (prayer) to object to the instrument withdrawn,"A non-fatal motion does not stop a statutory instrument being law but may be used by either House to indicate concern. The most common non-fatal motion in the Lords is a motion to regret. The motion usually gives specific reasons for the regret. Even if agreed, the motion cannot stop or amend the statutory instrument, but gives members an opportunity to put on record their dissent.",1,2,,4,Motions can be withdrawn at any stage before debate or they will be withdrawn at the end of debate either singularly or grouped. ,No link if withdrawn before a debate takes place (motion will simply disappear) otherwise if it is withdrawn following a debate then the LBP minute link,Date withdrawn,,813,cLEFLsGp
77,Question on non-fatal motion (prayer) to object to the instrument put (House of Commons),Question on non-fatal motion (prayer) to object to the instrument put,"A non-fatal motion (prayer) does not stop a statutory instrument being law but may be used by either House to indicate concern. In the Commons, a prayer motion tabled outside the 40 sitting days period is non-fatal as it can only object to the instrument, rather than stop it.",1,1,,,Will usually follow a debate or as a separate motion following a DLC debate. The decision could also be deferred. ,V&P anchor link,Date question put,"90, 95",1569,S652OOdl
78,Instrument rejected (House of Lords),Instrument rejected,"Instrument rejected by the House of Lords.  If either House resolves that an affirmative instrument should not be approved, the instrument, depending on whether it is a draft or already made, cannot become law or stops being law.",1,2,,4,If actualised this will bring the SI procedure to an end. ,LBP - individual link,Date of decision,42,1078,pX6JXPJ3
79,"Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords)",Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),Instrument considered by the Joint Committee on Statutory Instruments and no concerns found.,1,"1, 2",,4,"Will appear under the report heading ""Instruments not reported"". We will first see notice of the report in the Vote/LBP on a Thursday but the report will be published on a Friday so we actualise retrospectively. Name changed from 'no concerns raised' in March 2020. Name changed from 'instrument not reported' in October 2023.",JCSI report - Not reported page,Date the JCSI met (usually a Wednesday).,8,1495,j7oLnCke
81,Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure (House of Lords),Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure,"The Secondary Legislation Scrutiny Committee, under the remit of Schedule 7 of the European Union (Withdrawal) Act 2018, recommended that the appropriate procedure for the instrument is for a draft of it be laid before, and approved by a resolution, of each House before it is made. ",1,2,,"8, 4",We will first see notice of the report in the Vote/LBP on a Wednesday but the report will be published on a Thursday so we actualise retrospectively. ,SLSC report - specific PNSI page. ,Date the SLSC met (usually a Tuesday or Wednesday depending on which Sub-Comm).,19,1615,GAGqPaSf
84,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords),Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),Instrument considered by the Secondary Legislation Scrutiny Committee which raised concerns in line with the committee's terms of reference. ,1,2,,"5, 4","Will appear under the report heading ""Instruments drawn to the special attention of the House"". We will first see notice of the report in the Vote/LBP on a Wednesday but the report will be published on a Thursday so we actualise retrospectively. If the SLSC includes a previously considered instrument in another report with a different outcome please check with Jane White. While this is possible it is not considered usual practice and must be checked before we actualise any further steps. ",SLSC report - anchor link to specific instrument,Date the SLSC met (usually a Tuesday or Wednesday depending on which Sub-Comm).,19,1475,Kn7FknDd
85,Instrument can be made (signed into law),Instrument can be made (signed into law),Draft negative instruments can be made once they have sat before the House(s) for 40 days and a fatal prayer has not been approved. Draft affirmative instruments can be made once the House(s) have approved the instrument. ,1,,,,Applies to draft instruments that have completed their procedure but have not been signed by Govt minister. ,Statutory instrument (Draft intro page) ,Date clock ends or date procedure concluded in the House.,,1079,WYDc91tD
