availabilityof,starton,hasavailabilitystatus,label
urn:procedure-editor:Route:2292,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AJ Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Made negative procedure
urn:procedure-editor:Route:2710,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AK Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Draft negative procedure
urn:procedure-editor:Route:3224,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from EVEL CERT AA Decision to Certified as England only under the English votes for English laws (EVEL) process (House of Commons) in the English votes for English laws (EVEL) procedure
urn:procedure-editor:Route:3236,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from EVEL CERT AB Decision to Certified as England and Wales only under the English votes for English laws (EVEL) process (House of Commons) in the English votes for English laws (EVEL) procedure
urn:procedure-editor:Route:3246,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,"Closed availability of route from EVEL CERT AC Decision to Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process (House of Commons) in the English votes for English laws (EVEL) procedure"
urn:procedure-editor:Route:3256,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from EVEL CERT AD Decision to Not certified under the English votes for English laws (EVEL) process (House of Commons) in the English votes for English laws (EVEL) procedure
urn:procedure-editor:Route:3335,2020-04-22,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from AC Decision to Considered for English votes for English laws (EVEL) certification (House of Commons) in the Draft affirmative procedure
urn:procedure-editor:Route:4225,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AA Decision to Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4300,2021-01-28,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords BI AND to Allocated to the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
urn:procedure-editor:Route:4301,2020-04-24,urn:procedure-editor:AvailabilityStatus:4dKp0Pbhmws2okyMx6gXLt,Closed availability of route from Treaty Lords AC Decision to Allocated to the EU Energy and Environment Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure
