id,label,triplestoreid,treatyseriescitation,treatyseries,treaty
312,Moldova No. 1 (2023),dnFZzAPL,Moldova No. 1 (2023),1,5697
315,Canada No. 1 (2023),t7EW8cRw,Canada No. 1 (2023),1,5760
325,Azerbaijan No. 1 (2023),miPQqG8U,Azerbaijan No. 1 (2023),1,5813
326,Saint Vincent and the Grenadines No. 1 (2023),HnZCh0AO,Saint Vincent and the Grenadines No. 1 (2023),1,5814
328,Switzerland No. 1 (2023),djbOxniK,Switzerland No. 1 (2023),1,5742
331,Republic of Korea No.1 (2023),hFVAguyg,Republic of Korea No.1 (2023),1,5930
332,Portugal No.1 (2023),rtKloHy7,Portugal No.1 (2023),1,5931
333,Georgia No. 2 (2023),ZSoBUURC,Georgia No. 2 (2023),1,5970
334,Moldova No. 2 (2023),l0piC2tb,Moldova No. 2 (2023),1,5971
336,Republic of Korea No. 2 (2023),c9EnZRhf,Republic of Korea No. 2 (2023),1,6029
340,Georgia No. 3 (2023),veF3qhMy,Georgia No. 3 (2023),1,6044
345,Belgium No. 1 (2023),JOirwyHz,Belgium No. 1 (2023),1,6069
346,Rwanda No. 1 (2023),5Hybo67N,Rwanda No. 1 (2023),1,6098
350,Albania No. 1 (2024),wPQtqnjM,Albania No. 1 (2024),1,6181
351,Kosovo No. 1 (2024),yGZzOFLM,Kosovo No. 1 (2024),1,6182
355,Philippines No. 1 (2024),0SOAyY5x,Philippines No. 1 (2024),1,6224
362,Ukraine No. 1 (2024),ldiLqUQV,Ukraine No. 1 (2024),1,6268
363,Denmark No. 1 (2024),u5ayrnkC,Denmark No. 1 (2024),1,6272
393,Switzerland No. 1 (2024),5Bs6HgXa,Switzerland No. 1 (2024),1,6245
394,Hungary No. 1 (2024),ALXYsIM6,Hungary No. 1 (2024),1,6375
395,Saudi Arabia No. 1 (2024),GJ78E35L,Saudi Arabia No. 1 (2024),1,6404
396,Bahrain No. 1 (2024),CTPz1qW7,Bahrain No. 1 (2024),1,6405
399,Senegal No.1 (2024),ZA3iAwTg,Senegal No.1 (2024),1,6412
401,Moldova No. 1 (2024),NUX0f0mZ,Moldova No. 1 (2024),1,6560
402,USA No. 1 (2024),p1NcrD3w,USA No. 1 (2024),1,6566
404,Ukraine No. 2 (2024),VewubY5n,Ukraine No. 2 (2024),1,6597
409,Thailand No. 1 (2024),eOPVcHYZ,Thailand No. 1 (2024),1,6701
415,Brazil No.1 (2024),HBRCBPea,Brazil No.1 (2024),1,6795
416,Moldova No. 2 (2024),YQjbDjT8,Moldova No. 2 (2024),1,6796
