id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
4,Work package for Restriction on the Preparation of Adoption Reports (Amendment) Regulations 2018,,false,zlDxL3xS,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:4
5,Work package for Package Travel and Linked Travel Arrangements Regulations 2018,,false,QXHttLOh,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5
6,Work package for Cash Ratio Deposits (Value Bands and Ratios) Order 2018,,false,ku4HUUqp,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6
8,Work package for Electronic Presentment of Instruments (Evidence of Payment and Compensation for Loss) Regulations 2018,,false,bONPJ56c,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:8
9,Work package for Cheshire West and Chester (Electoral Changes) Order 2018,,false,0zyGzme2,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:9
15,Work package for Breaching of Limits on Ticket Sales Regulations 2018,,false,W7YZ1i4T,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:15
23,Work package for Financial Services and Markets Act 2000 (Regulated Activities) (Amendment) Order 2018,,false,zJLB2rbN,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:23
31,Work package for Client Money Protection Schemes for Property Agents (Approval and Designation of Schemes) Regulations 2018,,false,tVWVmTCL,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:31
32,Work package for Client Money Protection Schemes for Property Agents (Requirement to Belong to a Scheme etc.) Regulations 2018,,false,eCsYdAM3,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:32
35,Work package for Occupational Pension Schemes (Master Trusts) Regulations 2018,,false,Gcba35Qd,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:35
40,Work package for Official Statistics Order 2018,,false,2hbUBGLm,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:40
45,Work package for Offshore Environmental Civil Sanctions Regulations 2018,,false,c8P8nJgq,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:45
52,Work package for Single Source Contract (Amendment) Regulations 2018,,false,sCsUv9LP,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:52
53,Work package for New Towns Act 1981 (Local Authority Oversight) Regulations 2018,,false,LtEJxMbn,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:53
54,Work package for Liverpool City Region Combined Authority (Business Rate Supplements Functions) Order 2018,,false,EMd5zhNn,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:54
55,"Work package for Police and Criminal Evidence Act 1984 (Codes of Practice) (Revision of Codes C, E, F, and H) Order 2018",,false,wMkdwlCh,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:55
56,Work package for West of England Combined Authority (Business Rate Supplements Functions) Order 2018,,false,F1z92xaj,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:56
58,Work package for Contracts for Difference (Miscellaneous Amendments) Regulations 2018,,false,VKMmNyZw,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:58
63,Work package for West Midlands Combined Authority (Business Rate Supplements Functions and Amendment) Order 2018,,false,NPsTtMcv,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:63
65,Work package for Renewables Obligation (Amendment) Order 2018,,false,LZZDP3oe,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:65
66,Work package for East Hampshire (Electoral Changes) Order 2018,,false,V8H9QZ1p,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:66
68,Work package for King's Lynn and West Norfolk (Electoral Changes) Order 2018,,false,qOj7JAd8,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:68
69,Work package for Richmondshire (Electoral Changes) Order 2018,,false,lV20Bjux,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:69
71,Work package for Oil and Gas Authority (Offshore Petroleum) (Disclosure of Protected Material after Specified Period) Regulations 2018,,false,okoEwpBW,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:71
