id,title,weblink,enabledby,comingintoforcedate,comingintoforcenote,prefix,year,precededbyproposedstatutoryinstrument,triplestoreid
4,Restriction on the Preparation of Adoption Reports (Amendment) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168486,urn:procedure-editor:ActOfParliament:932,,in accordance with regulation 1,SI,2018,"",VIqyNL58
5,Package Travel and Linked Travel Arrangements Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168479,urn:procedure-editor:ActOfParliament:2419,2018-07-01,,SI,2018,"",i9hQEgyv
6,Cash Ratio Deposits (Value Bands and Ratios) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168523,urn:procedure-editor:ActOfParliament:1034,2018-06-01,,SI,2018,"",1fStCnaK
9,Cheshire West and Chester (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168974,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",Y70OJpm2
15,Breaching of Limits on Ticket Sales Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168950,urn:procedure-editor:ActOfParliament:19,,in accordance with regulation 1,SI,2018,"",hNQPUtRs
23,Financial Services and Markets Act 2000 (Regulated Activities) (Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169292,urn:procedure-editor:ActOfParliament:1282,,in accordance with article 1(2).,SI,2018,"",GOOyVBR4
31,Client Money Protection Schemes for Property Agents (Approval and Designation of Schemes) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169162,urn:procedure-editor:ActOfParliament:1026,,in accordance with regulation 1(2).,SI,2018,"",QmvfCS3N
32,Client Money Protection Schemes for Property Agents (Requirement to Belong to a Scheme etc.) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169155,urn:procedure-editor:ActOfParliament:1026,,in accordance with regulation 1(2),SI,2018,"",TKqREWHZ
35,Occupational Pension Schemes (Master Trusts) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169261,urn:procedure-editor:ActOfParliament:1280,,in accordance with regulation 1.,SI,2018,"",98FJSLox
40,Official Statistics Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169506,urn:procedure-editor:ActOfParliament:1223,,in accordance with article 1(2),SI,2018,"",ijAPvpBd
45,Offshore Environmental Civil Sanctions Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168745,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:1272,urn:procedure-editor:ActOfParliament:1230",2018-10-01,,SI,2018,"",rAkViDvo
52,Single Source Contract (Amendment) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169902,urn:procedure-editor:ActOfParliament:1294,,in accordance with regulation 1,SI,2018,"",pw7G14pf
53,New Towns Act 1981 (Local Authority Oversight) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169995,urn:procedure-editor:ActOfParliament:1863,,in accordance with regulation 1,SI,2018,"",9WjR8ian
54,Liverpool City Region Combined Authority (Business Rate Supplements Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170120,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1,SI,2018,"",181ZoViL
55,"Police and Criminal Evidence Act 1984 (Codes of Practice) (Revision of Codes C, E, F, and H) Order 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111169490,urn:procedure-editor:ActOfParliament:1654,,in accordance with article 1,SI,2018,"",rjzMGG28
56,West of England Combined Authority (Business Rate Supplements Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170106,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1,SI,2018,"",v2fDLDBe
58,Contracts for Difference (Miscellaneous Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170175,urn:procedure-editor:ActOfParliament:863,,in accordance with regulation 1,SI,2018,"",hs0US9Hw
63,West Midlands Combined Authority (Business Rate Supplements Functions and Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170274,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1,SI,2018,"",Keztycwl
65,Renewables Obligation (Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169957,urn:procedure-editor:ActOfParliament:215,,in accordance with article 1(1),SI,2018,"",oPe8W6LR
66,East Hampshire (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170069,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",CHZfxISd
68,King's Lynn and West Norfolk (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170083,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",b9hRtbhC
69,Richmondshire (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170021,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",YZnLn72f
71,Oil and Gas Authority (Offshore Petroleum) (Disclosure of Protected Material after Specified Period) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170342,urn:procedure-editor:ActOfParliament:887,,in accordance with regulation 1,SI,2018,"",66skcwzN
74,European Union (Definition of Treaties) (Political Dialogue and Cooperation Agreement) (Cuba) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169872,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",uhL6bPvV
79,Social Workers Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170090,"urn:procedure-editor:ActOfParliament:790,urn:procedure-editor:ActOfParliament:1348,urn:procedure-editor:ActOfParliament:1264,urn:procedure-editor:ActOfParliament:733",,in accordance with regulation 1(2) and (3),SI,2018,"",KUKpCZa3
80,Double Taxation Relief and International Tax Enforcement (Uzbekistan) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168516,"urn:procedure-editor:ActOfParliament:1219,urn:procedure-editor:ActOfParliament:338",,,SI,2018,"",avoNURrR
82,European Union (Definition of Treaties) (Association Agreement) (Central America) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169896,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",Y5ihrxeg
85,Double Taxation Relief and International Tax Enforcement (Ukraine) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168684,"urn:procedure-editor:ActOfParliament:338,urn:procedure-editor:ActOfParliament:1219",,,SI,2018,"",vPuOxy1B
86,European Union (Definition of Treaties) (Partnership Agreement on Relations and Cooperation) (New Zealand) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169889,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",MJRZgm6X
88,Double Taxation Relief and International Tax Enforcement (Belarus) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168677,"urn:procedure-editor:ActOfParliament:338,urn:procedure-editor:ActOfParliament:1219",,,SI,2018,"",tZhWfLGW
89,Higher Education (Transparency Condition and Financial Support) (England) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170373,urn:procedure-editor:ActOfParliament:20,,in accordance with regulation 2,SI,2018,"",D9vkxjm0
92,European Union (Definition of Treaties) (Comprehensive and Enhanced Partnership Agreement) (Armenia) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169759,urn:procedure-editor:ActOfParliament:2419,, in accordance with article 2,SI,2018,"",rMrXIRPv
94,Nottingham (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170014,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",T7oi7f0E
95,Companies (Miscellaneous Reporting) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170298,"urn:procedure-editor:ActOfParliament:1062,urn:procedure-editor:ActOfParliament:1183",,in accordance with regulation 1,SI,2018,"",WOETQ8oL
96,International Fund for Agricultural Development (Eleventh Replenishment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170564,urn:procedure-editor:ActOfParliament:1307,,in accordance with article 1.,SI,2018,"",OohXDEMJ
100,Scotland Act 2016 and Wales Act 2017 (Onshore Petroleum) (Consequential Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169001,"urn:procedure-editor:ActOfParliament:1336,urn:procedure-editor:ActOfParliament:1287",,in accordance with regulation 1(2) and (3).,SI,2018,"",ITuNnxmw
101,Torbay (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168967,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",WSBR9sBz
110,Higher Education (Fee Limits and Fee Limit Condition) (England) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170946,urn:procedure-editor:ActOfParliament:20,,in accordance with regulation 1.,SI,2018,"",c0IpQmwt
113,Nursing and Midwifery (Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169452,urn:procedure-editor:ActOfParliament:1270,,in accordance with article 1,SI,2018,"",xa91QFSm
118,Third Parties (Rights Against Insurers) Act 2010 (Consequential Amendment of Companies Act 2006) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170793,urn:procedure-editor:ActOfParliament:1218,,in accordance with regulation 1.,SI,2018,"",5dLGzkeI
119,Offshore Combustion Installations (Pollution Prevention and Control) (Amendment) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168783,urn:procedure-editor:ActOfParliament:1272,,in accordance with regulation 1.,SI,2018,"",TuBqZl6z
120,Warm Home Discount (Miscellaneous Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170458,urn:procedure-editor:ActOfParliament:1152,,in accordance with regulation 1,SI,2018,"",leJaKS5E
121,Data Retention and Acquisition Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170809,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:1334",,in accordance with regulation 1.,SI,2018,"",P5Zu6fkP
125,Immigration (Provision of Physical Data) (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171004,urn:procedure-editor:ActOfParliament:789,,in accordance with regulation 1(2),SI,2018,"",IjLgnN8z
127,Digital Government (Disclosure of Information) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169445,urn:procedure-editor:ActOfParliament:19,,in accordance with regulation 1(1).,SI,2018,"",ZIUjUqOY
128,European Union (Definition of Treaties) (Strategic Partnership Agreement) (Canada) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169865,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",hMaj7XDd
136,Offshore Environmental Civil Sanctions Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168745,"urn:procedure-editor:ActOfParliament:1230,urn:procedure-editor:ActOfParliament:1272,urn:procedure-editor:ActOfParliament:2419",2018-10-01,,SI,2018,"",YeYkel8w
145,Cambridgeshire and Peterborough Combined Authority (Business Rate Supplements Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170113,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1,SI,2018,"",z0qrw2Ka
147,Scarborough (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170076,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3),SI,2018,"",olhuTQTg
157,Investigatory Powers (Codes of Practice and Miscellaneous Amendments) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170366,"urn:procedure-editor:ActOfParliament:1334,urn:procedure-editor:ActOfParliament:1365",,in accordance with article 1,SI,2018,"",aQaZuLyK
158,European Union (Definition of Treaties) (Framework Agreement) (Australia) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169858,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",itrbNOwE
160,Double Taxation Relief (Mauritius) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168660,urn:procedure-editor:ActOfParliament:1219,,,SI,2018,"",s75qT4mw
162,European Union (Definition of Treaties) (Canada Trade Agreement) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111169438,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",X9tJrtug
163,Double Taxation Relief and International Tax Enforcement (Cyprus) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111168936,"urn:procedure-editor:ActOfParliament:1219,urn:procedure-editor:ActOfParliament:338",,,SI,2018,"",GHIocidH
164,Financial Services and Markets Act 2000 (Ring-fenced Bodies and Core Activities) (Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170670,urn:procedure-editor:ActOfParliament:1282,2018-10-31,,SI,2018,"",CMCJ3a82
165,Occupational Pension Schemes (Master Trusts) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111170533,urn:procedure-editor:ActOfParliament:1280,,in accordance with regulation 1,SI,2018,"",GVXkRR2M
173,Business Contract Terms (Assignment of Receivables) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171080,urn:procedure-editor:ActOfParliament:1330,,in accordance with regulation 1.,SI,2018,"",YhwigIF6
179,Medicines and Healthcare Products Regulatory Agency Trading Fund (Amendment) (EU Exit) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171141,urn:procedure-editor:ActOfParliament:2404,,in accordance with article 1,SI,2018,"",gcbZWM8q
181,Freedom of Information (Designation as Public Authority and Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171158,urn:procedure-editor:ActOfParliament:44,,in accordance with article 1(2),SI,2018,"",BRZBy463
185,Child Support (Miscellaneous Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171264,urn:procedure-editor:ActOfParliament:308,,in accordance with regulation 1.,SI,2018,"",cDVVk8C2
187,Financial Regulators' Powers (Technical Standards etc.) (Amendment etc.) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171394,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1.,SI,2018,"",wIlQG2bb
194,Armed Forces (Terms of Service) (Amendments Relating to Flexible Working) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171424,urn:procedure-editor:ActOfParliament:1366,2019-04-01,,SI,2018,"",m6w1ruLC
195,Companies (Directors' Report) and Limited Liability Partnerships (Energy and Carbon Report) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171356,"urn:procedure-editor:ActOfParliament:1183,urn:procedure-editor:ActOfParliament:393",2019-04-01,,SI,2018,"",DS1GQhA5
200,"European Union (Definition of Treaties) (Economic Partnership Agreements and Trade Agreement) (Eastern and Southern Africa States, Southern African Development Community States, Ghana and Ecuador) Order 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111171646,urn:procedure-editor:ActOfParliament:2419,,in accordance with article 2,SI,2018,"",uPVA7EvA
201,Department for Transport (Fees) (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171387,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",QI5WArIQ
209,Electricity and Gas (Energy Company Obligation) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171769,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:215,urn:procedure-editor:ActOfParliament:292",,in accordance with article 1,SI,2018,"",pyflzxxb
210,European Union (Withdrawal) Act 2018 (Consequential Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171653,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",xItHTyZP
211,Building Societies Legislation (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171554,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",bnrksmBb
218,European Union (Withdrawal) Act 2018 (Consequential Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171653,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1.,SI,2018,"",pg1MaN6V
219,Civil Aviation (Insurance) (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171844,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1.,SI,2018,"",qRweamaE
220,"Merchant Shipping (Monitoring, Reporting and Verification of Carbon Dioxide Emissions) (Amendment) (EU Exit) Regulations 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111171578,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1.,SI,2018,"",ePPVgmgN
221,Cambridgeshire and Peterborough Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171622,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",dHwDR0Xw
222,Greater Manchester Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171455,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",2JipSGt3
223,Liverpool City Region Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171615,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",zRBB7JhE
224,Tees Valley Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171707,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",DVgODdNe
225,West Midlands Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171608,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",j0R3vR5s
226,West of England Combined Authority (Adult Education Functions) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171738,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",xRUG9ARI
237,Armed Forces (Specified Aviation and Marine Functions) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171776,urn:procedure-editor:ActOfParliament:1366,2019-01-01,,SI,2018,"",uIHeCzNz
238,"Central Counterparties (Amendment, etc., and Transitional Provision) (EU Exit) Regulations 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111171882,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1(2) and (3).,SI,2018,"",3Iw5OmCs
239,"Newcastle Upon Tyne, North Tyneside and Northumberland Combined Authority (Establishment and Functions) Order 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111171875,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1.,SI,2018,"",I22Wlejq
241,Dartford (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171592,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3).,SI,2018,"",3ovJSqCK
242,North Devon (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171585,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3).,SI,2018,"",zo2QN0LF
243,Redcar and Cleveland (Electoral Changes) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111171677,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1(2) and (3).,SI,2018,"",URYwfkWz
274,Double Taxation Relief and International Tax Enforcement (Jersey) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172339,"urn:procedure-editor:ActOfParliament:1219,urn:procedure-editor:ActOfParliament:338",,,SI,2018,"",fgDYoYbL
275,Double Taxation Relief and International Tax Enforcement (Guernsey) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172346,"urn:procedure-editor:ActOfParliament:338,urn:procedure-editor:ActOfParliament:1219",,,SI,2018,"",jKZxBFHe
276,Double Taxation Relief and International Tax Enforcement (Isle of Man) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172353,"urn:procedure-editor:ActOfParliament:338,urn:procedure-editor:ActOfParliament:1219",,,SI,2018,"",8nULnQBi
277,"Newcastle Upon Tyne, North Tyneside and Northumberland Combined Authority (Establishment and Functions) Order 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111172360,urn:procedure-editor:ActOfParliament:949,,in accordance with article 1,SI,2018,"",QjdlkhkP
280,Further Education Bodies (Insolvency) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172292,urn:procedure-editor:ActOfParliament:991,,in accordance with regulation 1(1),SI,2018,"",TFdnSOeu
281,Electricity and Gas (Powers to Make Subordinate Legislation) (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172377,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1(2),SI,2018,"",tRaHj88K
282,"EEA Passport Rights (Amendment, etc., and Transitional Provisions) (EU Exit) Regulations 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111172421,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1(2) and (3),SI,2018,"",J8EUQxAg
295,Child Support (Miscellaneous Amendments) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172667,urn:procedure-editor:ActOfParliament:308,,in accordance with regulation 1,SI,2018,"",FoxP8Wi7
303,International Road Transport Permits (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172728,urn:procedure-editor:ActOfParliament:1096,,in accordance with regulation 1,SI,2018,"",vWSvjJPY
324,Trailer Registration Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173046,"urn:procedure-editor:ActOfParliament:562,urn:procedure-editor:ActOfParliament:1096",,in accordance with regulation 1(2),SI,2018,"",HD6sJ5Bq
326,Road Safety (Financial Penalty Deposit) (Appropriate Amount) (Amendment) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173053,urn:procedure-editor:ActOfParliament:503,,"in accordance with article 1(2), (3) and (4)",SI,2018,"",5ISSgu1W
327,Credit Transfers and Direct Debits in Euro (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172988,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",mEVKpToG
328,Deposit Guarantee Scheme and Miscellaneous Provisions (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173022,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",03b7Krn2
329,Short Selling (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173039,urn:procedure-editor:ActOfParliament:1,,,SI,2018,"",WFivvWVa
330,"Electronic Money, Payment Services and Payment Systems (Amendment and Transitional Provisions) (EU Exit) Regulations 2018",https://www.legislation.gov.uk/ukdsi/2018/9780111173008,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1(2) and (3),SI,2018,"",k7Ytkpuk
331,Financial Services and Markets Act 2000 (Claims Management Activity) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111172964,urn:procedure-editor:ActOfParliament:1282,,in accordance with article 1(2) and (3),SI,2018,"",57kWuZb4
342,Tax Collection and Management (Wales) Act 2016 and the Land Transaction Tax and Anti-avoidance of Devolved Taxes (Wales) Act 2017 (Consequential Amendments) Order 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173152,urn:procedure-editor:ActOfParliament:1291,,in accordance with article 1(2),SI,2018,"",iKgIQsG9
345,Textile Products (Amendment) (EU Exit) Regulations 2018,https://www.legislation.gov.uk/ukdsi/2018/9780111173138,urn:procedure-editor:ActOfParliament:1,,in accordance with regulation 1,SI,2018,"",T8QuQbfp
