id,label,triplestoreid,treatyseriescitation,treatyseries,treaty
460,European Union No. 5 (2018),uGMHu2Ce,European Union No. 5 (2018),2,1088
463,European Union No. 4 (2018),QoiR6cZF,European Union No. 4 (2018),2,1098
464,European Union No. 3 (2017),0ogEfzaZ,European Union No. 3 (2017),2,1101
466,European Union No. 2 (2017),mii6t2RE,European Union No. 2 (2017),2,1155
474,European Union No. 10 (2018),L4ZqE31I,European Union No. 10 (2018),2,1163
484,European Union No. 3 (2018),51c0DuRn,European Union No. 3 (2018),2,1171
487,European Union No. 12 (2018),wzlpn0Jq,European Union No. 12 (2018),2,1166
489,European Union No. 9 (2018),3bs4pD1s,European Union No. 9 (2018),2,1210
491,European Union No.6 (2018),wntvejPt,European Union No.6 (2018),2,1215
497,European Union No. 2 (2018),v35p8yHS,European Union No. 2 (2018),2,1172
502,European Union No.8 (2018),hNwnLKWl,European Union No.8 (2018),2,1211
519,European Union No. 11 (2018),jU1oMZuG,European Union No. 11 (2018),2,1165
521,European Union No.7 (2018),pewfNver,European Union No.7 (2018),2,1212
527,European Union No. 1 (2018),PKRujug4,European Union No. 1 (2018),2,1173
