Organisations1,Name,startDate,endDate,MNISdepartmentid,answeringBodyMNISId,SESId,GovUKRegisters,IsLayingBody
HYfypSOE,HM Treasury,01/01/1900,,50,14,84102,D15,true
81XBSIkF,"Department for Children, Schools and Families",28/06/2007,12/05/2010,12,,,D609,false
qjSEa2Ms,Department of Health,01/01/1900,09/01/2018,33,,28755,D12,true
Oj0eRddT,Department for Education and Skills,08/06/2001,28/06/2007,17,,,D583,false
XbTBTDMo,Department for Work and Pensions,08/06/2001,,24,29,28667,D10,true
mWvDgQ5B,Department of Trade and Industry,11/06/1983,28/06/2007,41,,,D586,false
meUXnLac,Department of Energy and Climate Change,03/10/2008,14/07/2016,31,,28735,D11,false
NDZSYjeE,Home Office,01/01/1900,,51,1,25060,D16,true
eWg1zuN6,"Department for Business, Innovation and Skills",05/06/2009,14/07/2016,11,26,28650,D3,false
ZL6nMgfa,HM Household,01/01/1900,,48,,,,false
g8hByIik,Department for International Development,01/01/1900,01/09/2020,21,20,28663,D8,true
iZhvs5JB,Northern Ireland Office,01/01/1900,,80,21,59729,D19,true
kv2Qqfn9,Wales Office,01/01/1900,,95,28,60306,,true
7dSvuueH,Department for Education,12/05/2010,,99,60,348507,D6,true
5LQ5Ar74,"Department for Environment, Food and Rural Affairs",08/06/2001,,18,13,28661,D7,true
BRTNQywN,Ministry of Justice,01/05/2007,,67,54,46016,D18,true
DkHdH4kZ,Ministry of Defence,19/12/1946,,64,11,45998,D17,true
Qi473w3p,Welsh Office,01/01/1900,29/07/1999,97,,,OT590,false
OxI80IaC,Department of Social Security,01/01/1988,08/06/2001,39,,,D584,false
UIV7W27r,Foreign and Commonwealth Office,01/01/1900,01/09/2020,45,16,34712,D13,true
c8FvquRy,"Department of the Environment, Transport and the Regions",01/01/1900,08/06/2001,19,,,OT1002,false
7gnSwbLO,Cabinet Office,11/12/1916,,5,53,17012,D2,true
mxR6qrqu,Department for Communities and Local Government,05/05/2006,09/01/2018,13,,298598,,true
X0hBeTxL,"Department for Business, Enterprise and Regulatory Reform",28/06/2007,05/06/2009,10,,,D611,false
XouN12Ow,Department for Transport,29/05/2002,,23,27,28665,D9,true
nFL8Pq3e,Scotland Office,01/01/1900,,90,2,67793,D23,true
8ziXGmw4,Scottish Office,01/01/1900,28/06/2007,91,,,D582,false
JVJB3tuB,Privy Council Office,01/01/1900,,88,,62058,OT342,true
Wfqub8yz,Office of the Leader of the House of Commons,25/01/2008,,55,34,42519,D21,false
W0A3CmJo,Lord Chancellor's Department,01/01/1900,13/06/2003,59,,,D595,false
P8FS4eb5,Attorney General's Office,03/12/2008,,3,88,2777,D1,true
QmbzvnBd,Department for Constitutional Affairs,01/01/1900,09/05/2007,14,,,D587,false
wxX46AN2,Office of the Leader of the House of Lords,01/01/1900,,52,92,42520,D22,false
yiuTaSI4,"Department for Business, Energy and Industrial Strategy",14/07/2016,07/02/2023,114,201,429166,D1198,true
Ru2j27ra,Government Equalities Office,12/10/2007,26/04/2011,47,,,OT506,false
ni8aOEk3,Department for International Trade,13/07/2016,07/02/2023,112,202,429160,D1196,true
KSMOf7aM,Department for Exiting the European Union ,13/07/2016,31/01/2020,113,203,429162,D1197,true
ZU3IXBtP,"Department for Digital, Culture, Media and Sport",03/07/2017,07/02/2023,116,10,438239,D5,true
Pt4e6RQz,Office of the Advocate General for Scotland,24/11/2008,,81,,584,D20,false
dV0ATSej,"Department for Innovation, Universities and Skills",28/06/2007,05/06/2009,20,,,D608,false
MoWIKVJI,Department of National Heritage,09/04/1992,01/05/1997,36,,,OT993,false
ERtBa2Td,UK Export Finance,01/07/2013,,119,,,,false
fpWTqVKh,Department of Health and Social Care,08/01/2018,,118,17,442437,D12,true
fKqMNz79,"Ministry of Housing, Communities and Local Government",08/01/2018,,117,7,442434,D4,true
wZcX6kdl,Office for National Statistics,08/06/2011,,101,,,D303,false
79sn5e3n,HM Revenue and Customs,08/06/2011,,100,,66537,D25,true
36DV9AX8,Food Standards Agency,01/05/2011,,102,,,D102,false
IEhsxklh,Health and Safety Executive,30/03/2012,,103,,,PB207,false
BnJUNszl,"Foreign, Commonwealth and Development Office",01/09/2020,,1002,208,469509,D13,true
4YFnf0fD,"Department for Levelling Up, Housing and Communities",19/09/2021,08/07/2024,1003,211,488564,D4,true
iOu7GKad,Department for Business and Trade,07/02/2023,,1006,214,512156,,true
sLfPQmjd,"Department for Science, Innovation and Technology",07/02/2023,,1005,216,512160,,true
yHtx3dj0,"Department for Culture, Media and Sport",07/02/2023,,15,217,28657,,true
WNiRFHTS,Department for Energy Security and Net Zero,07/02/2023,,1004,215,512158,,true
eup4DwE5,Local Government Boundary Commission for England,01/04/2010,,,,43248,,true
