id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
1,Work package for International Tax Compliance (Amendment) Regulations 2018,,false,vJoUN8Af,4,3,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:1
2,Work package for Civil Procedure (Amendment No. 2) Rules 2018,,false,uBG5MdZZ,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:2
3,Work package for Education (Student Support) (Amendment) (No. 3) Regulations 2018,,false,WmlTLQiJ,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:3
7,Work package for School Information (England) (Amendment) Regulations 2018,,false,40Yq0PnR,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:7
10,Work package for Capital Allowances (Designated Assisted Areas and Amendment) Order 2018,,false,auOf4Epa,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:10
11,"Work package for Universal Credit (Persons Required to Provide Information, Miscellaneous Amendments and Saving and Transitional Provision) Regulations (Northern Ireland) 2018",,false,EdGVZDEz,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:11
12,Work package for Poisons Act 1972 (Explosives Precursors) (Amendment) Regulations 2018,,false,DRTwwjtS,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:12
13,Work package for Higher Education (Basic Amount and Higher Amount) (England) (Amendment) Regulations 2018,,false,y5Pki10i,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:13
14,Work package for Criminal Legal Aid (Amendment) Regulations 2018,,false,I4duwcuB,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:14
16,Work package for Tribunal Procedure (Amendment) Rules 2018,,false,JsU0fHFW,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:16
17,Work package for Public Service Vehicles (Registration of Local Services) (Franchising Schemes Transitional Provisions and Amendments) (England) Regulations 2018,,false,KGrfWbku,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:17
18,Work package for Bathing Water (Amendment) (England) Regulations 2018,,false,K8jg57DX,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:18
19,Work package for Oil and Gas Authority (Offshore Petroleum) (Retention of Information and Samples) Regulations 2018,,false,dFnbME4A,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:19
20,Work package for Ionising Radiation (Basic Safety Standards) (Miscellaneous Provisions) Regulations 2018,,false,UsdZhECl,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:20
21,"Work package for Environment, Food and Rural Affairs (Miscellaneous Amendments) (England) Regulations 2018",,false,KAaIQyCC,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:21
22,Work package for Local Land Charges Fees (England) Rules 2018,,false,BBNF0hzl,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:22
24,Work package for Personal Independence Payment (Amendment) Regulations (Northern Ireland) 2018,,false,0ifq7ERi,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:24
25,"Work package for Common Agricultural Policy (Control and Enforcement, Cross-Compliance, Scrutiny of Transactions and Appeals) (Amendment) (England) Regulations 2018",,false,26Y9ftes,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:25
26,Work package for Town and Country Planning (Pre-commencement Conditions) Regulations 2018,,false,lon9Uu05,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:26
27,Work package for Road Vehicles (Construction and Use) (Amendment) Regulations 2018,,false,Ix8dPawU,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:27
28,Work package for Rating Lists (Valuation Date) (England) Order 2018,,false,PjQFqiyZ,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:28
29,Work package for Public Service (Civil Servants and Others) Pensions (Amendment) Regulations 2018,,false,PwLQp4Rk,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:29
30,Work package for Network and Information Systems Regulations 2018,,false,JJ45Soew,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:30
33,Work package for Export (Penalty) (Amendment) Regulations 2018,,false,F8pP8ZhB,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:33
34,Work package for Police Pension Schemes and Additional Voluntary Contributions (Amendment) (England and Wales) Regulations 2018,,false,i5LP8krv,4,,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:34
