id,triplestoreid,citation,membershipin,membershipof
7,aRLgt557,Miscellaneous No. 13 (2019),3,1239
12,be8ROhkn,Miscellaneous No.10 (2019),3,1184
13,1aYn7HqC,Miscellaneous No.8 (2019),3,1185
14,64tbwdwB,Miscellaneous No.6 (2019),3,1188
15,shGgJA5a,Miscellaneous No.5 (2019),3,1187
16,bULIn2Zv,Miscellaneous No.11 (2019),3,1182
17,cVjb5tun,Miscellaneous No.7 (2019),3,1183
18,OnNAac1r,Miscellaneous No.9 (2019),3,1186
21,Zt4Gm3S4,Miscellaneous No.4 (2019),3,1192
34,bVKftyib,Miscellaneous No.1 (2019),3,1180
35,bhLrTEqY,Miscellaneous No.2 (2019),3,1200
36,J6jEVmZb,Miscellaneous No.3 (2019),3,1181
37,eiwk1VCB,Miscellaneous No.15 (2018),3,1179
38,m4K1gaEB,Miscellaneous No.14 (2018),3,1201
44,DthAB3Fu,Miscellaneous No.13 (2018),3,1206
45,Wbs12lkK,Miscellaneous No. 10 (2018),3,1208
47,zLfu6Gy4,Miscellaneous No. 9 (2018),3,1167
50,a06V9a6E,Miscellaneous No. 7 (2018),3,1164
51,VmfCvkLS,Miscellaneous No. 8 (2018),3,1169
68,L0o9Crho,Miscellaneous No. 4 (2018),3,1168
69,13foMVnZ,Miscellaneous No. 3 (2018),3,1099
70,kJqigrm4,Miscellaneous No. 2 (2018),3,1216
71,Z4IyrP1h,Miscellaneous No. 1 (2018),3,1100
74,sQv0lZz7,Miscellaneous No. 4 (2017),3,1217
75,YbB9jll3, Miscellaneous No. 3 (2017),3,1218
79,URbh0mTt,Miscellaneous No. 2 (2017),3,1154
88,JqGZsqwJ,Miscellaneous No.16 (2019),3,1455
91,AMosvfpS,Miscellaneous No.17 (2019),3,1475
93,behMLWsN,Miscellaneous No.18 (2019),3,1530
100,eXDtHqBu,Miscellaneous No. 22 (2019),3,1567
104,bCRfr9OF,Miscellaneous No. 23 (2019),3,1593
109,4jCQ7S6j,Miscellaneous No. 24 (2019),3,1622
110,8B0VmknH,Miscellaneous No. 28 (2019),3,1658
128,x4paIiL7,Miscellaneous No. 25 (2019),3,2440
132,bECGCxsP,Miscellaneous No.32 (2019),3,2371
134,BvX9XTj3,Miscellaneous No. 26 (2019),3,1666
135,eJnCJGIS,Miscellaneous No. 31 (2019),3,1661
136,nLSSIlTa,Miscellaneous No. 30 (2019),3,1660
137,qvzKamfs,Miscellaneous No. 29 (2019),3,1659
138,M2uz0cFs,Miscellaneous No. 20 (2019),3,1566
139,N6vCBKnq,Miscellaneous No. 21 (2019),3,1565
141,cGYJVlZV,Miscellaneous No. 15 (2019),3,1397
142,pofj0Omr,Miscellaneous No. 12 (2019),3,1236
147,G3FGkfbs,Miscellaneous Series No. 34 (2019),3,2532
150,L0oE0emj,Miscellaneous No. 6 (2018),3,1178
159,fMGH6yMN,Miscellaneous  No. 1 (2020),3,2614
167,Kli5vgcU,Miscellaneous  No. 11 (2018),3,1209
173,U7MaDAC7,Miscellaneous No. 33 (2019),3,2450
177,Ix5YHSQO,Miscellaneous No. 3(2020),3,3169
180,G4q8n8z0,Miscellaneous No. 6 (2020),3,3336
199,6QOaxKKH,Miscellaneous No. 7 (2020),3,3484
207,B4wZziQn,Miscellaneous No. 8 (2020),3,3620
208,iIlehkOF,Miscellaneous No. 9 (2020),3,3628
216,jMncKFsf,Miscellaneous No. 4(2020) ,3,3167
217,RYtKE1FL,Miscellaneous No.1 (2021),3,3799
226,zkUDQ1vo,Miscellaneous No. 2 (2021),3,3989
238,VEv1oRsf,Miscellaneous No. 3 (2021) ,3,4213
239,a98GDVGE,Miscellaneous No. 4 (2021),3,4225
246,3ZfGLy9j,Miscellaneous No. 5 (2021),3,4347
248,XZEVPBn3,Miscellaneous Series No. 2 (2020),3,2743
249,ZpPa8omd,Miscellaneous No. 5(2020),3,3209
250,gPS53vne,Miscellaneous Series No. 6 (2021),3,4418
251,AIPDqkMb,Miscellaneous No. 7 (2021),3,4429
254,ZP81iVDt,Miscellaneous Series No.8 (2021),3,4464
258,dQ0TAZoc,Miscellaneous No. 1 (2022),3,4684
259,xyULOAie,Miscellaneous No. 2 (2022),3,4685
264,akPBOAJK,Miscellaneous No. 3 (2022),3,4878
266,YOgoXmMc,Miscellaneous No. 4 (2022),3,4957
267,y4Te2nG3,Miscellaneous No. 5 (2022),3,4958
269,TftEDu9a,Miscellaneous Series No. 7 (2022),3,5015
270,ftTXoPGX,Miscellaneous Series No. 6 (2022),3,5016
271,vPNW81NH,Miscellaneous No. 9 (2022),3,5036
277,Y5wg9Y1g,Miscellaneous Series No. 10 (2022),3,5305
285,oTAJOSEE,Miscellaneous No. 1 (2023),3,5566
286,Te2VSE71,Miscellaneous No. 2 (2023),3,5568
287,Huq0BTBF,Miscellaneous No. 4 (2023) ,3,5569
288,9yseNbNR,Miscellaneous No. 3 (2023),3,5570
314,62SqFzxw,Miscellaneous No. 5 (2023),3,5743
317,2oB0YBsj,Miscellaneous No. 7 (2023),3,5778
318,qJ5KojZV,Miscellaneous No. 27 (2019),3,1667
321,XmkIscLd,Miscellaneous No. 14 (2019),3,5789
323,QWQ4q5o9,Miscellaneous No. 6 (2023),3,5795
329,Z4sXgGZ6,Miscellaneous No. 8 (2023),3,5914
330,UnypquLa,Miscellaneous No. 9 (2023),3,5929
339,CfTAjH12,Miscellaneous No. 10 (2023),3,6041
349,fvLuDS8I,Miscellaneous No. 11 (2023),3,6148
352,92cmNkXf,Miscellaneous No. 1 (2024),3,6189
360,tAINzcRM,Miscellaneous No. 2 (2024),3,5707
366,1mRfqzP6,Miscellaneous No. 5 (2018),3,1087
384,xWS8eyCt,Miscellaneous No. 3 (2024),3,6281
