label,availabilityof,starton,endon,hasavailabilitystatus
Open availability of Made affirmative (1948-01-01 - ),urn:procedure-editor:Procedure:1,1948-01-01,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Proposed negative statutory instrument (2018-06-26 - ),urn:procedure-editor:Procedure:2,2018-06-26,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Draft affirmative (1948-01-01 - ),urn:procedure-editor:Procedure:3,1948-01-01,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Made negative (1948-01-01 - ),urn:procedure-editor:Procedure:4,1948-01-01,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Draft negative (1948-01-01 - ),urn:procedure-editor:Procedure:5,1948-01-01,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Treaties subject to the Constitutional Reform and Governance Act 2010 (2010-11-11 - ),urn:procedure-editor:Procedure:6,2010-11-11,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Published draft under European Union (Withdrawal) Act 2018 (Repealed) (2018-06-26 - 2023-06-29),urn:procedure-editor:Procedure:10,2018-06-26,2023-06-29,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Proposed draft remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:42,2000-10-02,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Draft affirmative remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:43,2000-10-02,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Made affirmative remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:45,2000-10-02,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Legislative Reform Order (2007-01-08 - ),urn:procedure-editor:Procedure:47,2007-01-08,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
Open availability of Enhanced affirmative: Investigatory Powers Act 2016 (2016-11-29 - ),urn:procedure-editor:Procedure:75,2016-11-29,,urn:procedure-editor:AvailabilityStatus:44ZFHpC3QzK6OnM1JNtysj
