id,number,label,startOn,endOn,wikidataID
1,1,Parliament 1,1801-01-22,1802-06-29,Q21084405
2,2,Parliament 2,1802-11-16,1806-10-24,Q21084419
3,3,Parliament 3,1806-12-15,1807-04-29,Q21084420
4,4,Parliament 4,1807-06-22,1812-09-29,Q21084421
5,5,Parliament 5,1812-11-24,1818-06-10,Q21084422
6,6,Parliament 6,1819-01-14,1820-02-29,Q21084423
7,7,Parliament 7,1820-04-21,1826-06-02,Q21084424
8,8,Parliament 8,1826-11-14,1830-07-24,Q21084425
9,9,Parliament 9,1830-10-26,1831-04-23,Q21084426
10,10,Parliament 10,1831-06-14,1832-12-03,Q21084427
11,11,Parliament 11,1833-01-29,1834-12-29,Q21084428
12,12,Parliament 12,1835-02-19,1837-07-17,Q21084429
13,13,Parliament 13,1837-11-15,1841-06-23,Q21084430
14,14,Parliament 14,1841-08-19,1847-07-23,Q21084431
15,15,Parliament 15,1847-11-18,1852-07-01,Q21084432
16,16,Parliament 16,1852-11-04,1857-03-21,Q21084433
17,17,Parliament 17,1857-04-30,1859-04-23,Q21084434
18,18,Parliament 18,1859-05-31,1865-07-06,Q21084435
19,19,Parliament 19,1866-02-01,1868-11-11,Q21084436
20,20,Parliament 20,1868-12-10,1874-01-26,Q21084437
21,21,Parliament 21,1874-03-05,1880-03-24,Q21084438
22,22,Parliament 22,1880-04-29,1885-11-18,Q21084439
23,23,Parliament 23,1886-01-12,1886-06-26,Q21084440
24,24,Parliament 24,1886-08-05,1892-06-28,Q21084441
25,25,Parliament 25,1892-08-04,1895-07-08,Q21084442
26,26,Parliament 26,1895-08-12,1900-09-17,Q21084443
27,27,Parliament 27,1900-12-03,1906-01-08,Q21084444
28,28,Parliament 28,1906-02-13,1910-01-10,Q21084445
29,29,Parliament 29,1910-02-15,1910-11-28,Q21084446
30,30,Parliament 30,1911-01-31,1918-11-25,Q21084447
31,31,Parliament 31,1919-02-04,1922-10-26,Q21084448
32,32,Parliament 32,1922-11-20,1923-11-16,Q21084449
33,33,Parliament 33,1924-01-08,1924-10-09,Q21084450
34,34,Parliament 34,1924-12-02,1929-05-10,Q21084451
35,35,Parliament 35,1929-06-25,1931-10-07,Q21084452
36,36,Parliament 36,1931-11-03,1935-10-25,Q21084453
37,37,Parliament 37,1935-11-26,1945-06-15,Q21084454
38,38,Parliament 38,1945-08-01,1950-02-03,Q21084455
39,39,Parliament 39,1950-03-01,1951-10-05,Q21084456
40,40,Parliament 40,1951-10-31,1955-05-06,Q21084457
41,41,Parliament 41,1955-06-07,1959-09-18,Q21084458
42,42,Parliament 42,1959-10-20,1964-09-25,Q21084459
43,43,Parliament 43,1964-10-27,1966-03-10,Q21084460
44,44,Parliament 44,1966-04-18,1970-05-29,Q21084461
45,45,Parliament 45,1970-06-29,1974-02-08,Q21084462
46,46,Parliament 46,1974-03-06,1974-09-20,Q21084463
47,47,Parliament 47,1974-10-22,1979-04-07,Q21084464
48,48,Parliament 48,1979-05-09,1983-05-13,Q21084465
49,49,Parliament 49,1983-06-15,1987-05-18,Q21084466
50,50,Parliament 50,1987-06-17,1992-03-16,Q21084467
51,51,Parliament 51,1992-04-27,1997-04-08,Q21084468
52,52,Parliament 52,1997-05-07,2001-05-14,Q21084469
53,53,Parliament 53,2001-06-13,2005-04-11,Q21084470
54,54,Parliament 54,2005-05-11,2010-04-12,Q21084471
55,55,Parliament 55,2010-05-18,2015-03-30,Q21084472
56,56,Parliament 56,2015-05-18,2017-05-03,Q21084473
57,57,Parliament 57,2017-06-13,2019-11-05,Q29974940
58,58,Parliament 58,2019-12-17,2024-05-30,Q77685395
59,59,Parliament 59,2024-07-09,,Q126063704
