id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
197,Work package for Airports (Groundhandling) (Amendment) (EU Exit) Regulations 2018,,false,xyYZNFHJ,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:197
198,Work package for Airport Charges (Amendment) (EU Exit) Regulations 2018,,false,7xwjxL0R,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:198
199,Work package for Computer Reservation Systems (Amendment) (EU Exit) Regulations 2018,,false,cy5h6E6l,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:199
206,Work package for Civil Aviation Act 1982 (Amendment) (EU Exit) Regulations 2018,,false,ns7vd6HL,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:206
207,Work package for Vehicle Drivers (Certificates of Professional Competence) (Amendment) (EU Exit) Regulations 2018,,false,OXRdMq8p,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:207
214,Work package for Freedom of Information Act 2000 (Amendment) (EU Exit) Regulations 2018,,false,wH3xRUGq,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:214
215,Work package for Postal and Parcel Services (Amendment etc.) (EU Exit) Regulations 2018,,false,fJUkZvZl,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:215
216,"Work package for European Parliamentary Elections etc. (Repeal, Revocation, Amendment and Saving Provisions) (United Kingdom and Gibraltar) (EU Exit) Regulations 2018",,false,cDkIwPje,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:216
217,Work package for European Research Infrastructure Consortium (Amendment) (EU Exit) Regulations 2018,,false,tpY51bZN,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:217
228,"Work package for Groceries Code Adjudicator Act 2013, Small Business, Enterprise and Employment Act 2015 and Enterprise Act 2016 (Amendment) (EU Exit) Regulations 2018",,false,z96Sc3X3,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:228
229,Work package for Return of Cultural Objects (Revocation) Regulations 2018,,false,5pxWAI3a,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:229
230,Work package for Feed-in Tariffs and Contracts for Difference (Amendment) (EU Exit) Regulations 2018,,false,0gWCh0Ao,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:230
231,Work package for European Communities (Designation Orders) (Revocation) (EU Exit) Regulations 2018,,false,SXOUk54M,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:231
232,Work package for European Union (Definition of Treaties Orders) (Revocation) (EU Exit) Regulations 2018,,false,3Vi06p5R,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:232
233,Work package for Consumer Credit (Amendment) (EU Exit) Regulations 2018,,false,rR4IV4ZV,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:233
234,Work package for Friendly Societies (Amendment) (EU Exit) Regulations 2018,,false,1mUEp63O,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:234
235,Work package for Design Right (Semiconductor Topographies) (Amendment) (EU Exit) Regulations 2018,,false,bieV3f47,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:235
244,Work package for Animal Health and Welfare (Miscellaneous Amendments) (England) (EU Exit) Regulations 2018,,false,frdVL9gN,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:244
245,Work package for Seal Products (Amendments) (EU Exit) Regulations 2018,,false,yRtSqDuD,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:245
246,Work package for Timber and Timber Products and FLEGT (EU Exit) Regulations 2018,,false,e3MZciVO,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:246
247,Work package for Health and Safety (Amendment) (EU Exit) Regulations 2018,,false,2I9czr8m,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:247
248,Work package for Flags (Northern Ireland) (Amendment) (EU Exit) Regulations 2018,,false,1EFvAn0z,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:248
249,"Work package for Cultural Tests (Films, Television Programmes and Video Games) (Amendment) (EU Exit) Regulations 2018",,false,TCfqRzie,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:249
252,Work package for Trade Barriers (Revocation) (EU Exit) Regulations 2018,,false,sWnYaNsO,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:252
265,Work package for Public Lending Right Scheme 1982 (Amendment) (EU Exit) Regulations 2018,,false,LCHagFcG,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:265
266,"Work package for Cat and Dog Fur (Control of Import, Export and Placing on the Market) (EU Exit) Regulations 2018",,false,osZF4kaJ,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:266
272,Work package for Electricity (Guarantees of Origin of Electricity Produced from Renewable Energy Sources) (Amendment) (EU Exit) Regulations 2018,,false,hi05MjHb,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:272
273,Work package for Special Fissile Materials (Right of Use and Consumption) (EU Exit) Regulations 2018,,false,0u8jVZuM,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:273
301,Work package for Civil Jurisdiction and Judgments (Hague Convention on Choice of Court Agreements 2005) (EU Exit) Regulations 2018,,false,7GuXrqj1,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:301
302,Work package for International Recovery of Maintenance (Hague Convention on the International Recovery of Child Support and Other Forms of Family Maintenance 2007) (EU Exit) Regulations 2018,,false,Y38f5lYP,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:302
309,Work package for Merchant Shipping (Miscellaneous Provisions) (Amendments etc.) (EU Exit) Regulations 2018,,false,cauCS1Nc,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:309
312,Work package for Zoonotic Disease Eradication and Control (Amendment) (England) (EU Exit) Regulations 2018,,false,2nZkIKC9,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:312
313,Work package for Animal By-products and Transmissible Spongiform Encephalopathies (England) (Amendment) (EU Exit) Regulations 2018,,false,ffzW3U2P,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:313
316,Work package for Communication of Investments (Revocation) (EU Exit) Regulations 2018,,false,D2bddeAW,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:316
318,Work package for Animals (Scientific Procedures) Act 1986 (EU Exit) Regulations 2018,,false,c1GvjPrn,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:318
321,Work package for Export of Objects of Cultural Interest (Control) (Amendment etc.) (EU Exit) Regulations 2018,,false,tXYAcwXZ,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:321
322,Work package for Animal By-products and Transmissible Spongiform Encephalopathies (Amendment) (England) (EU Exit) Regulations 2018,,false,UOVC0luf,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:322
336,"Work package for Road Vehicles (Registration, Registration Plates and Excise Exemption) (Amendment) (EU Exit) Regulations 2018",,false,GQ1CGlLr,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:336
337,Work package for Driving Licences (Amendments) (EU Exit) Regulations 2018,,false,iNTV8jgu,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:337
338,Work package for International Recovery of Maintenance (Hague Convention on the International Recovery of Child Support and Other Forms of Family Maintenance 2007) (EU Exit) Regulations 2018,,false,9sRFUgHI,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:338
340,Work package for Consumer Protection (Enforcement) (Amendment etc.) (EU Exit) Regulations 2018,,false,e8dSzmks,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:340
341,Work package for Rail Passengers' Rights and Obligations (Amendment)(EU Exit) Regulations 2018,,false,sgMO7X2P,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:341
360,Work package for Merchant Shipping (Accident Reporting and Investigation) and the Railways (Accident Investigation and Reporting) (Amendment) (EU Exit) Regulations 2018,,false,3pWfoYuD,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:360
364,Work package for Animal By-products and Transmissible Spongiform Encephalopathies (England) (Amendment) (EU Exit) Regulations 2018,,false,6hyVQuTp,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:364
365,Work package for Merchant Shipping (Accident Reporting and Investigation) and the Railways (Accident Investigation and Reporting) (Amendment) (EU Exit) Regulations 2018,,false,1dryUpwJ,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:365
382,Work package for Guarantees of Origin of Electricity Produced from High-efficiency Cogeneration (Amendment) (EU Exit) Regulations 2018,,false,akP0D19q,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:382
388,Work package for Merchant Shipping and Fishing Vessels (Health and Safety at Work) (Miscellaneous Amendments) (EU Exit) Regulations 2018,,false,WyTp0Uxp,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:388
400,Work package for Mutual Recognition of Protection Measures in Civil Matters (Amendment) (EU Exit) Regulations 2018,,false,wnYFG4lB,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:400
406,Work package for Open Internet Access (Amendment etc.) (EU Exit) Regulations 2018,,false,HO4UqAIu,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:406
407,Work package for Planning (Environmental Assessments and Miscellaneous Amendments) (EU Exit) (Northern Ireland) Regulations 2018,,false,kStbtoWn,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:407
408,Work package for Planning (Hazardous Substances and Miscellaneous Amendments) (EU Exit) Regulations 2018,,false,oe4zG7ib,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:408
411,Work package for Environmental Assessments and Miscellaneous Planning (Amendment) (EU Exit) Regulations 2018,,false,FfZdkGLp,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:411
412,Work package for Open Internet Access (Amendment Etc.) (EU Exit) Regulations 2018,,false,tBG4S97d,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:412
414,Work package for Intellectual Property (Copyright and Related Rights) (Amendment) (EU Exit) Regulations 2018,,false,6e2GHETg,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:414
415,Work package for Ionising Radiation (Basic Safety Standards) (Miscellaneous Provisions) (Amendment) (EU Exit) Regulations 2018,,false,mjONGC49,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:415
416,Work package for Weighing and Measuring Equipment and Meters (Amendment of Secondary Legislation) (EU Exit) Regulations 2018,,false,s2Bfvtn5,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:416
417,Work package for Inquiries and Coroners (Amendment) (EU Exit) Regulations 2018,,false,mejtOODW,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:417
