id,title,weblink,enabledby,triplestoreid
197,Airports (Groundhandling) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-airports-groundhandling-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,wzsrSFQP
198,Airport Charges (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-airport-charges-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,Tn1xqHc0
199,Computer Reservation Systems (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-computer-reservation-systems-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,H95FzZVv
206,Civil Aviation Act 1982 (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-civil-aviation-act-1982-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,mssRQnqj
207,Vehicle Drivers (Certificates of Professional Competence) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-vehicle-drivers-certificates-of-professional-competence-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,cL5yuFbG
214,Freedom of Information Act 2000 (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-freedom-of-information-act-2000-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,PkQCvHkT
215,Postal and Parcel Services (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-postal-and-parcel-services-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,AcoKsOuw
216,"European Parliamentary Elections etc. (Repeal, Revocation, Amendment and Saving Provisions) (United Kingdom and Gibraltar) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-parliamentary-elections-etc-repeal-revocation-amendment-and-saving-provisions-united-kingdom-and-gibraltar-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,YOGGjydt
217,European Research Infrastructure Consortium (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-research-infrastructure-consortium-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,7KgIpwmP
228,"Groceries Code Adjudicator Act 2013, Small Business, Enterprise and Employment Act 2015 and Enterprise Act 2016 (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-groceries-code-adjudicator-act-2013-small-business-enterprise-and-employment-act-2015-and-enterprise-act-2016-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,a2L0zxbo
229,Return of Cultural Objects (Revocation) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-return-of-cultural-objects-revocation-regulations-2018,urn:procedure-editor:ActOfParliament:1,zPhl1zVB
230,Feed-in Tariffs and Contracts for Difference (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-feed-in-tariffs-and-contracts-for-difference-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,SiA85FTV
231,European Communities (Designation Orders) (Revocation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-communities-designation-orders-revocation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,3XfjyKc7
232,European Union (Definition of Treaties Orders) (Revocation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-union-definition-of-treaties-orders-revocation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,XCCCh1kE
233,Consumer Credit (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-consumer-credit-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,sUpfiOCM
234,Friendly Societies (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-friendly-societies-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,szRasC5x
235,Design Right (Semiconductor Topographies) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-design-right-semiconductor-topographies-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,OtGAt1n4
244,Animal Health and Welfare (Miscellaneous Amendments) (England) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animal-health-and-and-welfare-miscellaneous-amendments-england-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,78cgn2Dx
245,Seal Products (Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-seal-products-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,mEznEN3a
246,Timber and Timber Products and FLEGT (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-timber-and-products-and-flegt-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,OuKyf9Ne
247,Health and Safety (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-health-and-safety-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,Ykks9FXW
248,Flags (Northern Ireland) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-flags-northern-ireland-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,W3l3iqIJ
249,"Cultural Tests (Films, Television Programmes and Video Games) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-cultural-tests-films-television-programmes-and-video-games-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,Xpyq1I4Q
252,Trade Barriers (Revocation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-trade-barriers-revocation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,lTbB3os8
265,Public Lending Right Scheme 1982 (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-public-lending-right-scheme-1982-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,pzau2957
266,"Cat and Dog Fur (Control of Import, Export and Placing on the Market) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-cat-and-dog-fur-control-of-import-export-and-placing-on-the-market-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,CSVKuT3Q
272,Electricity (Guarantees of Origin of Electricity Produced from Renewable Energy Sources) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-electricity-guarantees-of-origin-of-electricity-produced-from-renewable-energy-sources-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,mPyCVKAK
273,Special Fissile Materials (Right of Use and Consumption) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-special-fissile-materials-right-of-use-and-consumption-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,thnAcmar
301,Civil Jurisdiction and Judgments (Hague Convention on Choice of Court Agreements 2005) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-civil-jurisdiction-and-judgments-hague-convention-on-choice-of-court-agreements-2005-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,u2CkM7KS
302,International Recovery of Maintenance (Hague Convention on the International Recovery of Child Support and Other Forms of Family Maintenance 2007) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-international-recovery-of-maintenance-hague-convention-on-the-international-recovery-of-child-support-and-other-forms-of-family-maintenance-2007-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,6XjAcXQO
309,Merchant Shipping (Miscellaneous Provisions) (Amendments etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-merchant-shipping-miscellaneous-provisions-amendments-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,eIcl19m5
312,Zoonotic Disease Eradication and Control (Amendment) (England) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-zoonotic-disease-eradication-and-control-amendment-england-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,AHgBl2vF
313,Animal By-products and Transmissible Spongiform Encephalopathies (England) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animal-by-products-and-transmissible-spongiform-encephalopathies-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,xPakvw9Y
316,Communication of Investments (Revocation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-communication-of-investments-revocation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,pCTXaGyQ
318,Animals (Scientific Procedures) Act 1986 (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animals-scientific-procedures-act-1986-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,SXtlN96I
321,Export of Objects of Cultural Interest (Control) (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-export-of-objects-of-cultural-interest-control-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,XyrWfzSG
322,Animal By-products and Transmissible Spongiform Encephalopathies (Amendment) (England) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animal-by-products-and-transmissible-spongiform-encephalopathies-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,eS3rrWn2
336,"Road Vehicles (Registration, Registration Plates and Excise Exemption) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/road-vehicles-registration-registration-plates-and-excise-exemption-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,6itOwgLT
337,Driving Licences (Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/driving-licences-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,c9tfxxSG
338,International Recovery of Maintenance (Hague Convention on the International Recovery of Child Support and Other Forms of Family Maintenance 2007) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-international-recovery-of-maintenance-hague-convention-on-the-international-recovery-of-child-support-and-other-forms-of-family-maintenance-2007-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,XOLYsYbh
340,Consumer Protection (Enforcement) (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-consumer-protection-enforcement-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,JZ7gvDu6
341,Rail Passengers' Rights and Obligations (Amendment)(EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/rail-passengers-rights-and-obligations-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,EfjqJrpr
360,Merchant Shipping (Accident Reporting and Investigation) and the Railways (Accident Investigation and Reporting) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-merchant-shipping-accident-reporting-and-investigation-and-the-railways-accident-investigation-and-reporting-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,OqROoJsG
364,Animal By-products and Transmissible Spongiform Encephalopathies (England) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animal-by-products-and-transmissible-spongiform-encephalopathies-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,sHOlA3ji
365,Merchant Shipping (Accident Reporting and Investigation) and the Railways (Accident Investigation and Reporting) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-merchant-shipping-accident-reporting-and-investigation-and-the-railways-accident-investigation-and-reporting-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,e93zn4Ry
382,Guarantees of Origin of Electricity Produced from High-efficiency Cogeneration (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-guarantees-of-origin-of-electricity-produced-from-high-efficiency-cogeneration-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,SlL5uea4
388,Merchant Shipping and Fishing Vessels (Health and Safety at Work) (Miscellaneous Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-merchant-shipping-and-fishing-vessels-health-and-safety-at-work-miscellaneous-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,G2uQ6egN
400,Mutual Recognition of Protection Measures in Civil Matters (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-mutual-recognition-of-protection-measures-in-civil-matters-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,3QJSS6n4
406,Open Internet Access (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-open-internet-access-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,0sTgNfiO
407,Planning (Environmental Assessments and Miscellaneous Amendments) (EU Exit) (Northern Ireland) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-planning-environmental-assessments-and-miscellaneous-amendments-eu-exit-northern-ireland-regulations-2018,urn:procedure-editor:ActOfParliament:1,UQPRGVls
