id,title,weblink,enabledby,triplestoreid
4479,Railway (Licensing of Railway Undertakings) (Amendment) Regulations 2021,https://www.gov.uk/government/publications/amendments-to-rail-operator-licensing-regulations,urn:procedure-editor:ActOfParliament:1,UrmaCe0j
4480,Motor Fuel (Composition and Content) and the Biofuel (Labelling) (Amendment) (No. 2) Regulations 2021,https://www.gov.uk/government/publications/regulations-to-introduce-e10-petrol ,urn:procedure-editor:ActOfParliament:1,Ozvi2U4J
4481,Merchant Shipping (Prevention of Air Pollution from Ships) (Amendment) Regulations 2021,https://www.gov.uk/government/speeches/draft-legislation-the-merchant-shipping-prevention-of-air-pollution-from-ships-amendment-regulations-2021 ,urn:procedure-editor:ActOfParliament:1,Htvq0CfZ
4482,Renewable Transport Fuel Obligations (Amendment) Order 2021,https://www.gov.uk/government/publications/amendments-to-the-rtfo-regulations-to-increase-carbon-savings-on-land-air-and-at-sea,urn:procedure-editor:ActOfParliament:1,npsbhG4M
4483,Train Driving Licences and Certificates (Amendment) Regulations 2022,https://www.gov.uk/government/publications/amendments-to-train-driving-licensing-regulations ,urn:procedure-editor:ActOfParliament:1,pjiwbm63
4485,Motor Vehicles (Driving Licences) (Amendment) Regulations 2022,https://www.gov.uk/government/publications/regulations-to-simplify-driving-licence-upgrade-and-motorcycle-test-rules,urn:procedure-editor:ActOfParliament:1,Jf4nVhlM
4530,Food and Feed Safety (Miscellaneous Amendments and Transitional Provisions) Regulations 2021,https://www.gov.uk/government/publications/regulations-on-food-and-feed-safety,urn:procedure-editor:ActOfParliament:1,N0Q1zRqd
4603,Air Navigation (Amendment) Order 2022,https://www.gov.uk/government/publications/amendments-to-air-navigation-regulations,urn:procedure-editor:ActOfParliament:1,gKwa8AOs
4683,Financial Services Act 2021 (Prudential Regulation of Credit Institutions and Investment Firms) (Consequential Amendments and Miscellaneous Provisions) Regulations 2022,https://www.gov.uk/government/publications/the-financial-services-act-2021-prudential-regulation-of-credit-institutions-and-investment-firms-consequential-amendments-and-miscellaneous-provis,urn:procedure-editor:ActOfParliament:1,yxrXHdd7
4768,Merchant Shipping (Safety Standards for Passenger Ships on Domestic Voyages) (Miscellaneous Amendments) Regulations 2022,https://www.gov.uk/government/publications/revised-safety-standards-for-older-passenger-ships,urn:procedure-editor:ActOfParliament:1,pfcqtRh1
4778,Merchant Shipping (Additional Safety Measures for Bulk Carriers) Regulations 2022,https://www.gov.uk/government/publications/regulations-for-bulk-carrier-safety,urn:procedure-editor:ActOfParliament:1,8eCxnD9Y
4830,Merchant Shipping (High Speed Craft) Regulations 2022,https://www.gov.uk/government/publications/regulations-for-high-speed-craft,urn:procedure-editor:ActOfParliament:1,OfQ5sJf4
4873,"Merchant Shipping (Standards of Training, Certification and Watchkeeping) Regulations 2022",https://www.gov.uk/government/publications/draft-regulations-to-implement-the-proposed-merchant-shipping-standards-of-training-certification-and-watchkeeping-regulations-2022,urn:procedure-editor:ActOfParliament:1,LRMKtsJr
4874,Motor Fuel (Composition and Content) (Amendment) (Northern Ireland) Regulations 2022,https://www.gov.uk/government/publications/regulations-to-introduce-e10-petrol-in-northern-ireland,urn:procedure-editor:ActOfParliament:1,mYvkqD7o
5069,Renewable Transport Fuel Obligations (Amendment) Order 2022,https://www.gov.uk/government/publications/regulations-to-increase-the-supply-of-renewable-transport-fuels-of-non-biological-origin,urn:procedure-editor:ActOfParliament:1,wEl6J9GT
5281,Merchant Shipping (Fire Protection) Regulations 2023,https://www.gov.uk/government/publications/regulations-for-fire-protection,urn:procedure-editor:ActOfParliament:1,cnqAadle
5310,Merchant Shipping (Inspections of Ro-Ro Passenger Ships and High-Speed Passenger Craft) Regulations 2023,https://www.gov.uk/government/publications/safety-inspection-regulations-for-ro-ro-passenger-ships-and-high-speed-craft,urn:procedure-editor:ActOfParliament:1,EYycVpgJ
5422,Road Vehicles (Authorised Weight) (Amendment) Regulations 2023,https://www.gov.uk/government/publications/regulations-to-increase-the-weight-limits-for-certain-zero-emission-or-alternatively-fuelled-vehicles,urn:procedure-editor:ActOfParliament:1,scZAjMEJ
5496,Financial Services and Markets Act 2000 (Commodity Derivatives and Emission Allowances) Order 2023,https://www.gov.uk/government/publications/draft-si-for-firms-who-trade-commodities-or-emission-allowances-as-an-ancillary-activity,urn:procedure-editor:ActOfParliament:1,CYb0gAkC
5749,Public Health England (Dissolution) (Consequential Amendments) Regulations 2023,https://www.gov.uk/government/publications/the-public-health-england-dissolution-consequential-amendments-regulations-2023,urn:procedure-editor:ActOfParliament:1,V6hs016z
