id,name,description,displayorder,procedurehascalculationstyle,triplestoreid
1,Made affirmative,Instruments subject to the made affirmative procedure are signed into law before being laid in Parliament but require approval from Parliament within a specified period. There are different types of made affirmative SIs: the most common type of made affirmative SI comes into force before it is approved (and can come into force before it is laid) but cannot remain in force unless it is approved by Parliament within a specified period.  Another rarer type of made affirmative SI is laid after being made but cannot come into force unless the instrument is approved by Parliament. The relevant procedure and the length of the approval period is defined in the parent Act.,3,"3, 1, 2",iWugpxMn
2,Proposed negative statutory instrument,"A Minister may exercise powers under the EU (Withdrawal) Act 2018 or the Retained EU Law (Revocation and Reform) Act 2023 to propose that instruments be subject to the proposed negative procedure. After a proposed negative instrument has been laid, each House has ten sitting days in which it may consider the instrument and agree with the proposal of the Minister, or instead recommend the instrument be subject to the draft affirmative procedure. In the Commons, the instrument is considered by the European Statutory Instruments Committee. In the Lords, the instrument is considered by the Secondary Legislation Scrutiny Committee. Any result of consideration does not bind a Minister, who must nevertheless make a written statement if disagreeing with a recommendation of a committee.",6,4,iCdMN1MW
3,Draft affirmative,"Instruments subject to the draft affirmative procedure are laid in draft and require approval in Parliament before being signed into law. Instruments concerning taxation are not laid in the Lords and only require the approval of the Commons. The Commons debates the instrument in a Delegated Legislation Committee or in the Commons Chamber, where a decision on approval is made. The Lords debates the instrument in Grand Committee or in the Lords Chamber, where a decision on approval is made.",2,,H5YJQsK2
4,Made negative,Instruments subject to the made negative procedure do not require approval in Parliament before becoming law. These instruments may come into force on any date after being laid. Instruments concerning taxation are not laid in the Lords. Either House may pass a motion within the objection period which annuls the instrument and stops it having effect.,5,"3, 2",5S6p4YsP
5,Draft negative,Instruments subject to the draft negative procedure are laid in draft and do not require approval in Parliament before being signed in law. Instruments concerning taxation are not laid in the Lords. Either House may pass a motion within the objection period which prevents the instrument being signed into law. The instrument cannot be signed into law by a Minister until the end of the objection period.,4,"2, 3",gTgidljI
6,Treaties subject to the Constitutional Reform and Governance Act 2010,"A treaty may be ratified if the Commons does not resolve against ratification within 21 sitting days. A Minister may extend this period. If the Commons resolves against ratification, a Minister may make a statement in disagreement, following which the Commons may consider for a further 21 sitting days. Even if the Lords resolves against ratification, a Minister may make a statement that the treaty be ratified. A Minister may determine a treaty be ratified without it being laid before Parliament.",1,5,D00dsjR2
8,Secondary Legislation Scrutiny Committee (SLSC),,42,,8M2uUbfD
9,Select Committee on Statutory Instruments (SCSI),,41,,Rs3ZCwcM
10,Published draft under European Union (Withdrawal) Act 2018 (Repealed),"Paragraphs 13-15 of Schedule 8 to the European (Withdrawal) Act 2018 set up a  a two-stage affirmative procedure for any instruments to amend or revoke secondary legislation originally made under the European Communities Act 1972 (most Directives were implemented that way). First the statutory instrument had to be published in draft for 28 days to allow for comment. Second, when the instrument was formally laid, the Minister was required to make a ""scrutiny statement"" setting out the Government response to any recommendations made by a parliamentary committee on the draft, and any other representations on the instrument. The instrument laid did need not be identical to the published draft, if it made amendments as a result of that consultation. Only 20 instruments used the procedure and it was abolished by sec 10 (1) of the Retained EU Law (Revocation and Reform) Act 2023. ",12,2,jaKY87jt
11,English votes for English laws (EVEL),,25,,6Ko0lqag
