id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
4759,Work package for Proposal for a draft British Nationality Act 1981 (Remedial) Order ,,false,VLPj0qPA,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4759
4770,Work package for Proposal for a Draft Human Fertilisation and Embryology Act 2008 (Remedial) Order,,false,k3dpba7J,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4770
4772,Work package for Proposal for a draft Jobseekers (Back to Work Schemes) Act 2013 (Remedial) Order,,false,94Y1Vm65,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4772
4774,Work package for Proposal for a Remedial Order to amend the Human Rights Act 1998,,false,NqcxeWuP,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4774
4776,Work package for Proposal for a Remedial Order to amend the Fatal Accidents Act 1976,,false,Um0dJqpT,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4776
4779,Work package for Proposal for the Draft Bereavement Benefits (Remedial) Order,,false,sp8b250r,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4779
4819,Work package for Proposal for the draft State Immunity Act 1978 (Remedial) Order ,,false,Ix42sgs5,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4819
4867,Work package for Proposal for the draft State Immunity Act 1978 (Remedial) Order,,false,1QpBJkVR,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:4867
5561,Work package for Proposal for the Draft Investigatory Powers Act 2016 (Remedial) Order 2023,,false,S5fwNgYt,42,,urn:procedure-editor:ProposedDraftRemedialOrderWork:5561
6858,Work package for Proposal for the Draft Northern Ireland Troubles (Legacy and Reconciliation) Act 2023 (Remedial) Order 2024,,false,FVsWj78M,42,2,urn:procedure-editor:ProposedDraftRemedialOrderWork:6858
7321,Work package for Proposal for a Draft Human Rights Act 1998 (Remedial) Order 2025,,false,jKFPp6Yg,42,2,urn:procedure-editor:ProposedDraftRemedialOrderWork:7321
