id,triplestoreid,publicationname,publicationurl
47,inXgBPgj,Calendar,https://calendar.parliament.uk/calendar/Commons/All/2018/10/24/Daily
112,S6KodNVt,V&P (Or Papers Laid in Recess),https://publications.parliament.uk/pa/cm201719/cmvote/180510v01.html#Papers
207,OZQAxwBd,Parliament's calendar,https://calendar.parliament.uk/calendar/Lords/All/2019/3/13/Daily
211,tO4squV6,Parliament's calendar,https://calendar.parliament.uk/calendar/Lords/All/2018/10/24/Daily
238,ZQsEZgTV,LBP or Parliament Calendar,
239,IdWXawXv,CFB or Parliament Calendar,
240,krbgL24v,LBP or Parliament Calendar,
241,lQu5uwus,CFB or Parliament Calendar,
251,nIteSXJm,LBP or  Parliament Calendar,
608,6e2QYLZc,Check with Jane White. ,
641,Syl538BB,SLSC produced clock table (See SI Service folder),
779,RKp1C7y8,Lords Hansard,https://hansard.parliament.uk/
780,uhdOm6KS,EDM website,https://edm.parliament.uk/
782,1Crglrnx,House of Lords Business website,https://lordsbusiness.parliament.uk/
783,VtP2VRTH,EDMs website,https://edm.parliament.uk/
786,JXuq4nFX,Joint Committee on Statutory Instruments reports,https://committees.parliament.uk/committee/148/statutory-instruments-joint-committee/
788,3f14lzZu,Select Committee on Statutory Instruments reports,https://committees.parliament.uk/committee/149/statutory-instruments-select-committee/
793,rVBOm0o9,House of Lords Minute,https://lordsbusiness.parliament.uk/
794,dgwHc5lf,House of Lords Minute,https://lordsbusiness.parliament.uk/
796,lodkOWCA,House of Lords Minute,http://lordsbusiness.parliament.uk/
797,AcJrJuba,Lords Hansard,https://hansard.parliament.uk/Lords
798,ThLw8APG,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
799,auiISIqR,Commons Hansard,https://hansard.parliament.uk/Commons
800,yoOsvUw4,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
801,GBd1uzCZ,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
802,VPymKzfl,House of Lords Minute,https://lordsbusiness.parliament.uk/
803,eEuskbrY,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
804,RklAYVmo,House of Lords Business website,https://lordsbusiness.parliament.uk/
805,y26OMstp,Commons Future Business,https://commonsbusiness.parliament.uk/search?SearchTerm=Order+Paper
806,XwYJav93,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
808,HhLwni6e,House of Lords Business website,https://lordsbusiness.parliament.uk/
