id,triplestoreid,inprocedure,label,fromstep,tostep
1936,RjkE4LhA,2,Route from AA Decision to Proposed negative statutory instrument withdrawn from the House of Commons (House of Commons) in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:281,urn:procedure-editor:BusinessStep:109
1937,YE11GATc,2,Route from Proposed negative statutory instrument withdrawn from the House of Commons (House of Commons) to AC NOT in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:109,urn:procedure-editor:Step:282
1939,tTmVlzqA,2,Route from Laid before the House of Commons (House of Commons) to AC AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:BusinessStep:4,urn:procedure-editor:Step:283
1940,Cu4Bv2KR,2,Route from AC AND to PNSI AF Summation in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:283,urn:procedure-editor:Step:3821
1943,lz3c1tQ8,2,Route from AD NOT to AC AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:284,urn:procedure-editor:Step:283
1945,KyGopC5F,2,Route from PNSICC AB Summation to AP AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:3987,urn:procedure-editor:Step:299
1947,VptSK4rm,2,Route from AP AND to AF OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:299,urn:procedure-editor:Step:302
1948,XNT7LRzD,2,Route from AF OR to AG AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:302,urn:procedure-editor:Step:300
1949,tjG5aIhJ,2,"Route from AG AND to Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) in the Proposed negative statutory instrument procedure",urn:procedure-editor:Step:300,urn:procedure-editor:BusinessStep:111
1950,Pf9hQt7N,2,"Route from Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) to AH NOT in the Proposed negative statutory instrument procedure",urn:procedure-editor:BusinessStep:111,urn:procedure-editor:Step:301
1951,ay1LYqEL,2,Route from AH NOT to AG AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:301,urn:procedure-editor:Step:300
1966,nzREs9LT,2,Route from PNSICC AC Summation to AE OR in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:4002,urn:procedure-editor:Step:295
1967,junCu1oR,2,Route from AE OR to AF AND in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:295,urn:procedure-editor:Step:296
1968,8YT4coRV,2,Route from AF AND to AD Decision in the Proposed negative statutory instrument procedure,urn:procedure-editor:Step:296,urn:procedure-editor:Step:298
