id,inParliamentPeriod,number,label,startOn,endOn,wikidataID
1,1,1,Session 1 of Parliament 1,1801-01-22,1801-07-02,Q108997882
2,1,2,Session 2 of Parliament 1,1801-10-29,1802-06-28,Q108997881
3,2,1,Session 1 of Parliament 2,1802-11-16,1803-08-12,Q108997880
4,2,2,Session 2 of Parliament 2,1803-11-22,1804-07-31,Q108997879
5,2,3,Session 3 of Parliament 2,1805-01-15,1805-07-12,Q108997878
6,2,4,Session 4 of Parliament 2,1806-01-21,1806-07-23,Q108997877
7,3,1,Session 1 of Parliament 3,1806-12-15,1807-04-27,Q108997876
8,4,1,Session 1 of Parliament 4,1807-06-22,1807-08-14,Q108997875
9,4,2,Session 2 of Parliament 4,1808-01-21,1808-07-04,Q108997874
10,4,3,Session 3 of Parliament 4,1809-01-19,1809-06-21,Q108997873
11,4,4,Session 4 of Parliament 4,1810-01-23,1810-06-21,Q108997872
12,4,5,Session 5 of Parliament 4,1810-11-01,1811-07-24,Q108997871
13,4,6,Session 6 of Parliament 4,1812-01-07,1812-07-30,Q108997870
14,5,1,Session 1 of Parliament 5,1812-11-24,1813-07-22,Q108997869
15,5,2,Session 2 of Parliament 5,1813-11-04,1814-07-30,Q108997868
16,5,3,Session 3 of Parliament 5,1814-11-08,1815-07-12,Q108997867
17,5,4,Session 4 of Parliament 5,1816-02-01,1816-07-02,Q108997866
18,5,5,Session 5 of Parliament 5,1817-01-28,1817-07-12,Q108997865
19,5,6,Session 6 of Parliament 5,1818-01-27,1818-06-10,Q108997864
20,6,1,Session 1 of Parliament 6,1819-01-14,1819-07-13,Q108997863
21,6,2,Session 2 of Parliament 6,1819-11-23,1820-02-28,Q108997862
22,7,1,Session 1 of Parliament 7,1820-04-21,1820-11-23,Q108997855
23,7,2,Session 2 of Parliament 7,1821-01-23,1821-07-11,Q108997842
24,7,3,Session 3 of Parliament 7,1822-02-05,1822-08-06,Q108997828
25,7,4,Session 4 of Parliament 7,1823-02-04,1823-07-19,Q108997815
