id,name,stepcollectioninhouse,stepcollectioninprocedure,ismechanical,triplestoreid
1,Start steps,,,FALSE,RPfsm4lC
2,End steps,,,FALSE,TRohjSuI
3,Bicameral end steps,,,FALSE,pc94WzFV
4,Website visible steps,,,FALSE,Oebb7fXv
5,Committee concerns steps,,,FALSE,7CBVQcZF
6,Debates,,,FALSE,KMGLDo11
7,Motions tabled steps,,,FALSE,l3g2umNB
8,Proposed negative statutory instruments upgraded to affirmative,,2,FALSE,m7fzgEd2
11,Commons first reading,1,33,FALSE,9wFzYhU3
12,Documents,,,FALSE,Ji8bWVUj
13,Committee correspondence,,,FALSE,YeyqTPT6
14,Government responses to select committee reports,,,FALSE,yuLI4KIY
15,Ministerial statements,,,FALSE,GJyoVAV5
16,Committee oral evidence sessions,,,FALSE,SHG1bKCe
18,Associated papers,,,FALSE,ZimrKJ0K
