id,label,forbusinessstep,depthinprocedure,displaydepth,triplestoreid
1,Chamber debate has step depth 13 in the Made affirmative procedure,2,1,13,GQcFxf8Q
2,Laid before the House of Commons has step depth 3.4000000953674316 in the Made affirmative procedure,4,1,3.4000000953674316,kUCqSZ6Z
3,Considered by the Joint Committee on Statutory Instruments (JCSI) has step depth 4 in the Made affirmative procedure,8,1,4,NMNRySXx
4,Instrument comes into force as law has step depth 3 in the Made affirmative procedure,9,1,3,MCTLoa1M
5,Considered by the Select Committee on Statutory Instruments (SCSI) has step depth 4 in the Made affirmative procedure,10,1,4,T1gLpKYD
6,Laid before the House of Lords has step depth 3.4000000953674316 in the Made affirmative procedure,12,1,3.4000000953674316,uaeP6pzN
7,Instrument created has step depth 1 in the Made affirmative procedure,14,1,1,geRC9Zhe
8,Instrument made (signed into law) has step depth 2 in the Made affirmative procedure,15,1,2,cBgK154H
9,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6 in the Made affirmative procedure,19,1,6,IYUAmpn3
10,Grand Committee debate has step depth 13 in the Made affirmative procedure,21,1,13,WiN4DH6o
11,Chamber debate has step depth 11 in the Made affirmative procedure,23,1,11,qvpoDo3B
12,Question on motion to approve the instrument put has step depth 14 in the Made affirmative procedure,26,1,14,h4SGKuh3
13,Motion to approve the instrument withdrawn has step depth 22 in the Made affirmative procedure,28,1,22,OskR18WA
14,Motion to approve the instrument withdrawn has step depth 14 in the Made affirmative procedure,29,1,14,AhNOuO7n
15,Non-fatal motion to object to the instrument tabled has step depth 9 in the Made affirmative procedure,32,1,9,GwQDIS93
16,Motion to approve the instrument tabled by the Government has step depth 7 in the Made affirmative procedure,33,1,7,AmkendFS
17,Considered for English votes for English laws (EVEL) certification has step depth 10 in the Made affirmative procedure,34,1,10,qUJt4QOv
18,Non-fatal motion to object to the instrument withdrawn has step depth 20 in the Made affirmative procedure,36,1,20,j9QdKlwZ
19,Delegated Legislation Committee (DLC) debate has step depth 11 in the Made affirmative procedure,38,1,11,jTudnnzF
20,Instrument approved has step depth 23 in the Made affirmative procedure,39,1,23,23VADIGp
21,Instrument approved has step depth 16 in the Made affirmative procedure,40,1,16,MbtMLu4d
22,Question on motion to approve the instrument put has step depth 22 in the Made affirmative procedure,42,1,22,INCUwwcq
23,Question on non-fatal motion to object to the instrument put has step depth 20 in the Made affirmative procedure,43,1,20,xWDsFO6G
24,Instrument stops being law has step depth 29 in the Made affirmative procedure,44,1,29,oEMuUB2c
25,Motion to approve the instrument tabled by the Government has step depth 8 in the Made affirmative procedure,50,1,8,5MuAibYV
26,Approval period ends has step depth 25 in the Made affirmative procedure,53,1,25,Lffjdsme
27,Non-fatal motion to object to the instrument approved has step depth 21 in the Made affirmative procedure,60,1,21,PT00iZ3e
28,Non-fatal motion to object to the instrument rejected has step depth 21 in the Made affirmative procedure,61,1,21,Tn15CsTs
29,Certified as England only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made affirmative procedure,68,1,10.100000381469727,ZLFSjlvZ
30,Drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Made affirmative procedure,69,1,4.099999904632568,uBftP8Ug
31,Not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Made affirmative procedure,70,1,4.099999904632568,BV3SYNZ9
32,No comment by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made affirmative procedure,72,1,6.099999904632568,334OLeOs
33,Certified as England and Wales only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made affirmative procedure,74,1,10.100000381469727,7nkMqvxr
34,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made affirmative procedure",75,1,10.100000381469727,LLS7qBE5
35,Instrument rejected has step depth 23 in the Made affirmative procedure,78,1,23,j8R1GRpf
36,Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Made affirmative procedure,79,1,4.099999904632568,op6giOHR
37,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made affirmative procedure,84,1,6.099999904632568,xQ1tmsYU
38,Instrument remains law has step depth 29 in the Made affirmative procedure,86,1,29,6bUW9JFF
39,Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Made affirmative procedure,92,1,4.099999904632568,m23GCeaj
40,Not certified under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made affirmative procedure,94,1,10.100000381469727,CV4FH1lW
41,Instrument rejected has step depth 16 in the Made affirmative procedure,96,1,16,mOFssQY6
42,Decision on motion to approve the instrument deferred has step depth 15 in the Made affirmative procedure,100,1,15,svwNMROq
43,Scrutiny reserve for the Joint Committee on Statutory Instruments (JCSI) dispensed with has step depth 12 in the Made affirmative procedure,105,1,12,RZGrbmgn
