id,procedure_treaty_name,treaty_number,treaty_prefix,triple_store_id,web_link
1087,"Protocol, done at Seoul on 17 December 2013, to Eliminate Illicit Trade in Tobacco Products",9614,Cm.,p4J3kpGD,https://www.gov.uk/government/publications/ms-no52018-protocol-to-eliminate-illicit-trade-in-tobacco-products
1088,"Comprehensive and Enhanced Partnership Agreement, done at Brussels on 24 November 2017, between the European Union and European Atomic Energy Community and their Member States, of the one part, and the Republic of Armenia, of the other part (Vol. I and II)",9588,Cm.,mxwvoFZF,https://www.gov.uk/government/publications/eu-no52018-eueaecarmenia-comprehensive-and-enhanced-partnership-agreement
1098,"Political Dialogue and Cooperation Agreement, done at Brussels on 12 December 2016, between the European Union and its Member States, of the one part, and the Republic of Cuba, of the other part",9587,Cm.,vfQU5Ylo,https://www.gov.uk/government/publications/eu-no42018-eucuba-political-dialogue-and-cooperation-agreement
1099,"Agreement, done at Paris on 16 November 2016, on Extending the Framework Agreement for the International Collaboration on Research and Development of Generation IV Nuclear Energy Systems",9597,Cm.,3wL6WFJG,https://www.gov.uk/government/publications/ms-no32018-agreement-extending-the-framework-agreement-for-international-collaboration-on-research-and-development-of-generation-iv-nuclear-energy
1100,"Convention on Road Traffic, done at Vienna 8 November 1968",9570,Cm.,mYe3xVTt,https://www.gov.uk/government/publications/ms-no12018-convention-on-road-traffic-as-amended
1101,"Partnership and Cooperation Agreement establishing a Partnership between the European Communities and their Member States, of the one part, and Turkmenistan, of the other part",9537,Cm.,YvTTKZme,https://www.gov.uk/government/publications/eu-no32017-euturkmenistan-partnership-and-cooperation-agreement
1151,"Agreement, done at London on 2 November 2016, on the Mutual Recognition of Degrees between the United Kingdom of Great Britain and Northern Ireland and the Republic of Colombia",9509,Cm.,Pvmp9xt2,https://www.gov.uk/government/publications/cs-colombia-no12017-ukcolombia-agreement-on-the-mutual-recognition-of-degrees
1152,"Agreement, done at London on 13 May 2016, on the Mutual Recognition of Qualifications and Degrees between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile",9510,Cm.,EVhlNtWy,https://www.gov.uk/government/publications/cs-chile-no12017-ukchile-agreement-on-the-mutual-recognition-of-qualifications-and-degrees
1153,"Television Co-production Agreement, done at Shanghai on 6 December 2016, between the Government of the United Kingdom and the Government of the People's Republic of China",9508,Cm.,DnYeR53O,https://www.gov.uk/government/publications/cs-china-no12017-ukchina-television-co-production-agreement
1154,"Kigali Amendment, made in Kigali on 15 October 2016, to the Montreal Protocol on Substances that Deplete the Ozone Layer",9496,Cm.,SNbfHB5D,https://www.gov.uk/government/publications/ms-no22017-kigali-amendment-to-the-montreal-protocol-on-substances-that-deplete-the-ozone-layer
1155,"Agreement, done at Santo Domingo on 25 October 2016, establishing the EU-LAC International Foundation",9463,Cm.,wpLgAYLo,https://www.gov.uk/government/publications/eu-no22017-agreement-establishing-the-eu-lac-international-foundation
1161,"Agreement, done at Tirana on 5 April 2017, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Albania supplementing the European Convention on Extradition 1957",9594,Cm.,crkHpkw3,https://www.gov.uk/government/publications/cs-albania-no12018-ukalbania-agreement-with-albania-supplementing-the-european-convention-on-extradition
1162,"Treaty, done at Warsaw on 21 December 2017, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Poland on Defence and Security Cooperation",9615,Cm.,tftFF85h,https://www.gov.uk/government/publications/cs-poland-no12018-ukpoland-treaty-on-defence-and-security-cooperation
1163,"Protocol, done at Brussels on 11 November 2016, between the European Union and its Member States and Colombia and Peru on Accession to the Trade Agreement, to take account of the accession of Ecuador",9664,Cm.,5VwOHSyr,https://www.gov.uk/government/publications/eu-no102018-eucolombiaperuecuador-protocol-of-accession-to-the-trade-agreement
1164,Agreement Establishing the Inter-American Investment Corporation,9659,Cm.,CPKTz8we,https://www.gov.uk/government/publications/ms-no72018-agreement-establishing-the-inter-american-investment-corporation
1165,"Agreement, done at Luxembourg on 10 June 2013, between the European Union and its Member States and the Government of the State of Israel on Euro-Mediterranean Aviation",9690,Cm.,cBo62ruY,https://www.gov.uk/government/publications/eu-no112018-euisrael-euro-mediterranean-aviation-agreement
1166,"Common Aviation Area Agreement, done at Brussels on 26 June 2012, between the European Union and its Member states and the Republic of Moldova",9691,Cm.,FDruWHi7,https://www.gov.uk/government/publications/eu-no122018-eumoldova-common-aviation-area-agreement
