id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
1087,"Work package for Protocol, done at Seoul on 17 December 2013, to Eliminate Illicit Trade in Tobacco Products",,false,taCOK6Kz,6,,urn:procedure-editor:TreatyWork:1087
1088,"Work package for Comprehensive and Enhanced Partnership Agreement, done at Brussels on 24 November 2017, between the European Union and European Atomic Energy Community and their Member States, of the one part, and the Republic of Armenia, of the other part (Vol. I and II)",,false,mHxkWpRG,6,,urn:procedure-editor:TreatyWork:1088
1098,"Work package for Political Dialogue and Cooperation Agreement, done at Brussels on 12 December 2016, between the European Union and its Member States, of the one part, and the Republic of Cuba, of the other part",,false,K5FxlHcm,6,,urn:procedure-editor:TreatyWork:1098
1099,"Work package for Agreement, done at Paris on 16 November 2016, on Extending the Framework Agreement for the International Collaboration on Research and Development of Generation IV Nuclear Energy Systems",,false,Ql4kCkEq,6,,urn:procedure-editor:TreatyWork:1099
1100,"Work package for Convention on Road Traffic, done at Vienna 8 November 1968",,false,W73HljvC,6,,urn:procedure-editor:TreatyWork:1100
1101,"Work package for Partnership and Cooperation Agreement establishing a Partnership between the European Communities and their Member States, of the one part, and Turkmenistan, of the other part",,false,WXMu4WS4,6,,urn:procedure-editor:TreatyWork:1101
1151,"Work package for Agreement, done at London on 2 November 2016, on the Mutual Recognition of Degrees between the United Kingdom of Great Britain and Northern Ireland and the Republic of Colombia",,false,yRt0MGxG,6,,urn:procedure-editor:TreatyWork:1151
1152,"Work package for Agreement, done at London on 13 May 2016, on the Mutual Recognition of Qualifications and Degrees between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile",,false,slqr8Ldy,6,,urn:procedure-editor:TreatyWork:1152
1153,"Work package for Television Co-production Agreement, done at Shanghai on 6 December 2016, between the Government of the United Kingdom and the Government of the People's Republic of China",,false,HsnI9smK,6,,urn:procedure-editor:TreatyWork:1153
1154,"Work package for Kigali Amendment, made in Kigali on 15 October 2016, to the Montreal Protocol on Substances that Deplete the Ozone Layer",,false,65yoAw3d,6,,urn:procedure-editor:TreatyWork:1154
1155,"Work package for Agreement, done at Santo Domingo on 25 October 2016, establishing the EU-LAC International Foundation",,false,O6u4pu3W,6,,urn:procedure-editor:TreatyWork:1155
1161,"Work package for Agreement, done at Tirana on 5 April 2017, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Albania supplementing the European Convention on Extradition 1957",,false,QvbTAyYM,6,,urn:procedure-editor:TreatyWork:1161
1162,"Work package for Treaty, done at Warsaw on 21 December 2017, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Poland on Defence and Security Cooperation",,false,6oCGIScE,6,,urn:procedure-editor:TreatyWork:1162
1163,"Work package for Protocol, done at Brussels on 11 November 2016, between the European Union and its Member States and Colombia and Peru on Accession to the Trade Agreement, to take account of the accession of Ecuador",,false,Yol9skwE,6,,urn:procedure-editor:TreatyWork:1163
1164,Work package for Agreement Establishing the Inter-American Investment Corporation,,false,LL36mVyu,6,,urn:procedure-editor:TreatyWork:1164
1165,"Work package for Agreement, done at Luxembourg on 10 June 2013, between the European Union and its Member States and the Government of the State of Israel on Euro-Mediterranean Aviation",,false,gLhOTlU4,6,,urn:procedure-editor:TreatyWork:1165
1166,"Work package for Common Aviation Area Agreement, done at Brussels on 26 June 2012, between the European Union and its Member states and the Republic of Moldova",,false,GCZVPf3z,6,,urn:procedure-editor:TreatyWork:1166
1167,"Work package for Agreement, done at Brussels on 30 June 2001, on the international occasional carriage of passengers by coach and bus (Interbus agreement); and, Decision No 1/2011 of the Joint Committee established under the Interbus Agreement on the international occasional carriage of passengers by coach and bus of 11 November 2011 adopting its rules of procedure and adapting Annex 1 to the Agreement regarding conditions applying to road passenger transport operators, Annex 2 to the Agreement concerning the technical standards applying to buses and coaches and the requirements concerning the social provisions referred to in Article 8 of the Agreement; and, the Protocol to the agreement on the international occasional carriage of passengers by coach and bus (Interbus Agreement) regarding the international regular and special regular carriage of passengers by coach and bus",,false,em1KlrEx,6,,urn:procedure-editor:TreatyWork:1167
1168,"Work package for Agreement, done at Lanzarote on 25 October 2007, on the Protection of Children against Sexual Exploitation and Sexual Abuse",,false,MwWFh4RA,6,,urn:procedure-editor:TreatyWork:1168
1169,"Work package for Framework Agreement, done at Marrakesh on 15 November 2016, on the establishment of the International Solar Alliance",,false,p5ZzxyiJ,6,,urn:procedure-editor:TreatyWork:1169
1170,"Work package for Agreement, done at Panama City on 25 July 2017, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Panama for the Establishment and Functioning of Private International Schools of Excellence in the Republic of Panama",,false,XUImF3Pf,6,,urn:procedure-editor:TreatyWork:1170
1171,"Work package for Strategic Partnership Agreement, done at Brussels on 30 October 2016, between the European Union and its Member States, of the one part, and Canada, of the other part",,false,zYN11pyU,6,,urn:procedure-editor:TreatyWork:1171
1172,"Work package for Partnership Agreement, done at Brussels on 5 October 2016, between the European Union and its Member States, of the one part, and New Zealand, of the other part",,false,pGYR7ZqY,6,,urn:procedure-editor:TreatyWork:1172
1173,"Work package for Framework Agreement, done at Manila on 7 August 2017, between the European Union and its Member States, of the one part, and Australia, of the other part",,false,sXjlZa4j,6,,urn:procedure-editor:TreatyWork:1173
1174,"Work package for Agreement, done at Davos on 25 January 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Swiss Federal Council on the International Carriage of Passengers and Goods by Road",,false,ZCtXNgJ7,6,,urn:procedure-editor:TreatyWork:1174
1175,"Work package for Agreement, done at Davos on 25 January 2019, on Direct Insurance other than Life Insurance between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation",,false,f4zXPeIq,6,,urn:procedure-editor:TreatyWork:1175
1176,"Work package for Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on the Mutual Recognition of certain distilled Spirits/Spirit Drinks",,false,sV193RXy,6,,urn:procedure-editor:TreatyWork:1176
1177,"Work package for Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on Trade in Wine",,false,ESUmQnDG,6,,urn:procedure-editor:TreatyWork:1177
1178,"Work package for Amendments to Protocol, done at Geneva on 4 May 2012, to Abate Acidification, Eutrophication and Ground-level Ozone",,false,Z2IBlLaz,6,,urn:procedure-editor:TreatyWork:1178
1179,"Work package for Convention, done at Interlaken on 20 May 1987, on the simplification of formalities in trade in goods",,false,Z1TLlaAC,6,,urn:procedure-editor:TreatyWork:1179
1180,"Work package for Protocol, done at Geneva 27 November 2014, amending the Marrakesh Agreement Establishing the World Trade Organization",,false,wr3XLMMX,6,,urn:procedure-editor:TreatyWork:1180
1181,"Work package for Protocol, done at Geneva 6 Dec 2005, amending the TRIPS Agreement",,false,hR8rs8xA,6,,urn:procedure-editor:TreatyWork:1181
1182,"Work package for Convention, done at Ottawa on 24 November 1978, on Cooperation in the Northwest Atlantic Fisheries",,false,2lQL4wbF,6,,urn:procedure-editor:TreatyWork:1182
1183,"Work package for Convention, done at Reykjavik on 2 March 1982, for the Conservation of Salmon in the North Atlantic Ocean",,false,iAG9Px8k,6,,urn:procedure-editor:TreatyWork:1183
1184,"Work package for Agreement, done at Rome on 22 November 2009, on Port State Measures to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing",,false,eeRoBykA,6,,urn:procedure-editor:TreatyWork:1184
1185,"Work package for Agreement, done at Rome on 24 November 1993, to Promote Compliance with International Conservation and Management Measures by Fishing Vessels on the High Seas",,false,3RAAVies,6,,urn:procedure-editor:TreatyWork:1185
1186,"Work package for International Convention, done at Rio de Janeiro on 14 May 1966, on the Conservation of Atlantic Tunas",,false,93N4pSnm,6,,urn:procedure-editor:TreatyWork:1186
1187,"Work package for Convention, done at London on 18 November 1980, on Future Multilateral Cooperation in North-East Atlantic Fisheries",,false,UgbBw8Ay,6,,urn:procedure-editor:TreatyWork:1187
1188,"Work package for Agreement, done at Rome on 25 November 1993, on the Establishment of the Indian Ocean Tuna Commission",,false,X0QJZ4C8,6,,urn:procedure-editor:TreatyWork:1188
