Parliament,Polling,Opening,State opening,Dissolution,Wikidata - parliamentary term,Wikidata - election,Opening HL Deb,State opening HL Deb,Dissolution HC Journals,(London Gazette)
1,coopted 01 January 1801,22/01/1801,02/02/1801,29/06/1802,Q21084405,Q7887990,,,,issue 15492
2,05 July 1802 – 14 August 1802,16/11/1802,23/11/1802,24/10/1806,Q21084419,Q6273093,,,,issue 15968
3,29 October 1802 – 02 December 1802,15/12/1806,19/12/1806,29/04/1807,Q21084420,Q7887994,vol 8 cc1-2,vol 8 cc16-35,,issue 16025
4,04 May 1807 – 09 June 1807,22/06/1807,26/06/1807,29/09/1812,Q21084421,Q7887996,vol 9 cc565-566,vol 9 cc578-608,,issue 16650
5,05 October 1812 – 06 November 1812,24/11/1812,30/11/1812,10/06/1818,Q21084422,Q5353644,vol 24 cc1-2,vol 24 cc11-50,,issue 17369
6,17 June 1818 – 18 July 1818,14/01/1819,21/01/1819,29/02/1820,Q21084423,Q556715,vol 39 cc1-3,vol 39 cc17-20,,
7,06 March 1820 – 13 April 1820,21/04/1820,27/04/1820,02/06/1826,Q21084424,Q580228,vol 1 cc1-2,vol 1 cc11-13,,issue 18254
8,June 1826 – July 1826,14/11/1826,21/11/1826,24/07/1830,Q21084425,Q623211,vol 16 cc1-2,vol 16 cc9-11,,issue 18710
9,01/08/1830,26/10/1830,02/11/1830,23/04/1831,Q21084426,Q969827,vol 1 c1,vol 1 cc8-11,,issue 18797
10,01/05/1831,14/06/1831,21/06/1831,03/12/1832,Q21084427,Q1188713,vol 4 c73,vol 4 cc84-87,,issue 19000
11,10 December 1832 – 08 January 1833,29/01/1833,05/02/1833,29/12/1834,Q21084428,Q1582019,vol 15 cc33-34,vol 15 cc86-90,vol 90,issue 19225
12,06 January 1835 – 06 February 1835,19/02/1835,24/02/1835,17/07/1837,Q21084429,Q1834355,vol 26 cc1-2,vol 26 cc63-67,vol 93,issue 19521
13,24 July 1837 – 18 August 1837,15/11/1837,20/11/1837,23/06/1841,Q21084430,Q2037966,vol 39 cc1-2,vol 39 cc12-15,vol 96,issue 19992
14,29 June 1841 – 22 July 1841,19/08/1841,24/08/1841,23/07/1847,Q21084431,Q2073185,vol 59 cc1-2,vol 59 cc13-111,vol 103,issue 20758
15,29 July 1847 – 26 August 1847,18/11/1847,23/11/1847,01/07/1852,Q21084432,Q2073198,vol 95 cc1-3,vol 95 cc11-14,vol 108,issue 21333
16,07 July 1852 – 31 July 1852,04/11/1852,11/11/1852,21/03/1857,Q21084433,Q3943728,vol 123 cc1-2,vol 123 cc17-21,vol 112,issue 21980
17,27 March 1857 – 24 April 1857,30/04/1857,07/05/1857,23/04/1859,Q21084434,Q4345446,vol 145 cc1-3,vol 145 cc15-18,vol 114,issue 22254
18,28 April 1859 – 18 May 1859,31/05/1859,07/06/1859,06/07/1865,Q21084435,Q4345445,vol 154 cc1-3,vol 154 cc21-22,vol 121,issue 22987
19,11 July 1865 – 24 July 1865,01/02/1866,06/02/1866,11/11/1868,Q21084436,Q2074533,vol 181 cc1-3,vol 181 cc21-26,vol 124,issue 23440
20,17 November 1868 – 07 December 1868,10/12/1868,16/02/1869,26/01/1874,Q21084437,Q2074525,vol 194 cc1-3,vol 194 cc23-26,vol 129,issue 24057
21,31 January 1874 – 17 February 1874,05/03/1874,19/03/1874,24/03/1880,Q21084438,Q918351,vol 218 cc1-3,vol 218 cc22-25,vol 135,issue 24826
22,31 March 1880 – 27 April 1880,29/04/1880,20/05/1880,18/11/1885,Q21084439,Q2074515,vol 252 cc1-4,vol 252 cc65-68,vol 141,issue 25531
23,24 November1885 – 18 December 1885,12/01/1886,21/01/1886,26/06/1886,Q21084440,Q3397257,vol 302 cc1-4,vol 302 cc32-36,vol 141,issue 25601
24,01 July 1886 – 27 July 1886,05/08/1886,19/08/1886,28/06/1892,Q21084441,Q7888016,vol 308 cc1-4,vol 308 cc20-21,vol 147,issue 26302
