procedure,from_step,to_step
Made affirmative,Considered by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft affirmative,Considered by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made negative,Considered by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft negative,Considered by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,Considered by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made affirmative,JCSI AA,JCSI AA
Draft affirmative,JCSI AA,JCSI AA
Made negative,JCSI AA,JCSI AA
Draft negative,JCSI AA,JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,JCSI AA
Made affirmative,JCSI AA,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Draft affirmative,JCSI AA,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Made negative,JCSI AA,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Draft negative,JCSI AA,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Made affirmative,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft affirmative,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made negative,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft negative,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,Instrument drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made affirmative,JCSI AA,JCSI AA
Made affirmative,Considered by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft affirmative,Considered by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made negative,Considered by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft negative,Considered by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made affirmative,SCSI AA,SCSI AA
Draft affirmative,SCSI AA,SCSI AA
Made negative,SCSI AA,SCSI AA
Draft negative,SCSI AA,SCSI AA
Made affirmative,SCSI AA,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Draft affirmative,SCSI AA,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Made negative,SCSI AA,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Draft negative,SCSI AA,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Made affirmative,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft affirmative,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made negative,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft negative,Instrument drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made affirmative,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft affirmative,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made negative,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Draft negative,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI),SCSI AA
Made affirmative,SCSI AA,SCSI AA
Draft affirmative,SCSI AA,SCSI AA
Made negative,SCSI AA,SCSI AA
Draft negative,SCSI AA,SCSI AA
Made affirmative,SCSI AA,SCSI AA
Draft affirmative,SCSI AA,SCSI AA
Made negative,SCSI AA,SCSI AA
Draft negative,SCSI AA,SCSI AA
Made affirmative,SCSI AA,SCSI AB
Draft affirmative,SCSI AA,SCSI AB
Made negative,SCSI AA,SCSI AB
Draft negative,SCSI AA,SCSI AB
Made affirmative,SCSI AB,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Draft affirmative,SCSI AB,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Made negative,SCSI AB,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Draft negative,SCSI AB,Instrument not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI)
Made affirmative,SCSI AA,SCSI AA
Draft affirmative,SCSI AA,SCSI AA
Made negative,SCSI AA,SCSI AA
Draft negative,SCSI AA,SCSI AA
Draft affirmative,JCSI AA,JCSI AA
Made negative,JCSI AA,JCSI AA
Draft negative,JCSI AA,JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,JCSI AA
Made affirmative,JCSI AA,JCSI AA
Draft affirmative,JCSI AA,JCSI AA
Made negative,JCSI AA,JCSI AA
Draft negative,JCSI AA,JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,JCSI AA
Made affirmative,JCSI AA,JCSI AB
Draft affirmative,JCSI AA,JCSI AB
Made negative,JCSI AA,JCSI AB
Draft negative,JCSI AA,JCSI AB
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,JCSI AB
Made affirmative,JCSI AB,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Draft affirmative,JCSI AB,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Made negative,JCSI AB,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Draft negative,JCSI AB,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AB,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI)
Made affirmative,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft affirmative,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made negative,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Draft negative,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,Instrument not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI),JCSI AA
Made affirmative,JCSI AA,JCSI AA
Draft affirmative,JCSI AA,JCSI AA
Made negative,JCSI AA,JCSI AA
Draft negative,JCSI AA,JCSI AA
Enhanced affirmative: Investigatory Powers Act 2016,JCSI AA,JCSI AA
Made affirmative,Question on motion to approve the Local Government Finance Report (England) put,LGFR AA
Made affirmative,LGFR AA,LGFR AA
Made affirmative,LGFR AA,Local Government Finance Report (England) approved
Made affirmative,LGFR AA,LGFR AA
Made affirmative,LGFR AA,LGFR AB
Made affirmative,LGFR AB,Local Government Finance Report (England) rejected
Made affirmative,Local Government Finance Report (England) rejected,LGFR AA
Made affirmative,Local Government Finance Report (England) approved,LGFR AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AA,Reported for information by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AB,Drawn to the special attention of the House by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Agreements Committee (IAC),TREATY IAC+EAC AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AC,Government response to the decision made by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,International Trade Committee (ITC) inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) inquiry opened,TREATY ITC AT
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AG,TREATY ITC AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AB,Considered by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AG
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AG,TREATY ITC AG
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),Government response to the decision made by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AF
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AF,TREATY ITC AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AC,International Trade Committee (ITC) recommended that objection period A be extended
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) recommended that objection period A be extended,TREATY ITC AF
Treaties subject to the Constitutional Reform and Governance Act 2010,Joint Committee on Human Rights (JCHR) inquiry opened,TREATY JCHR AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AA,Considered by the Joint Committee on Human Rights (JCHR)
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AA,TREATY JCHR AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AB,Joint Committee on Human Rights (JCHR) recommended that the treaty should be debated in both Houses
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AA,TREATY JCHR AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AC,Joint Committee on Human Rights (JCHR) recommended that the treaty should be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AA,TREATY JCHR AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AD,Joint Committee on Human Rights (JCHR) recommended that the treaty should not be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AA,TREATY JCHR AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY JCHR AE,Joint Committee on Human Rights (JCHR) recommended that objection period A be extended
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Energy and Environment Sub-Committee,Treaty Lords AD
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU External Affairs Sub-Committee,Treaty Lords AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Financial Affairs Sub-Committee,Treaty Lords AA
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Home Affairs Sub-Committee,Treaty Lords AA
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Internal Market Sub-Committee,Treaty Lords AC
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Justice Sub-Committee,Treaty Lords AE
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AA,Treaty Lords AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AB,Treaty Lords AC
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AC,Treaty Lords AD
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AD,Treaty Lords AE
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AE,Treaty Lords AF
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AF,Treaty Lords AG
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AG,Treaty Lords AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BS,Treaty Lords AN
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AN,Considered by the European Union Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the European Union Committee,Treaty Lords BS
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BS,Treaty Lords BS
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the European Union Committee,Treaty Lords AO
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AO,Government response to the decision made by the European Union Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AP,Reported for information by the European Union Committee
UK Public Bills,Queen?s consent required,QC AA
UK Public Bills,Queen?s consent decision,QC AA
UK Public Bills,QC AA,QC AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AA,TREATY IAC+EAC AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AC,TREATY IAC+EAC AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AD,Considered by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AE,Considered by the European Affairs Committee (EAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the European Affairs Committee (EAC),TREATY IAC+EAC AF
UK Public Bills,Great Steward of Scotland's consent required,GSSC AA
UK Public Bills,GSSC AA,GSSC AA
UK Public Bills,GSSC AA,GSSC AA
UK Public Bills,GSSC AA,Great Steward of Scotland's consent decision
UK Public Bills,Great Steward of Scotland's consent decision,GSSC AA
UK Public Bills,Great Steward of Scotland's consent decision,GSSC AB
UK Public Bills,GSSC AB,GSSC AB
UK Public Bills,GSSC AB,GSSC AA
UK Public Bills,GSSC AA,GSSC AB
UK Public Bills,GSSC AA,GSSC AC
UK Public Bills,GSSC AC,Great Steward of Scotland's consent declined
UK Public Bills,Great Steward of Scotland's consent declined,GSSC AA
UK Public Bills,GSSC AA,GSSC AB
UK Public Bills,GSSC AB,Great Steward of Scotland's consent signified
UK Public Bills,Great Steward of Scotland's consent signified,GSSC AA
UK Public Bills,Great Steward of Scotland's consent required,GSSC AC
UK Public Bills,Great Steward of Scotland's consent signified,GSSC AC
UK Public Bills,GSSC AC,PL AD
UK Public Bills,Prince of Wales?s consent required,PWC AA
UK Public Bills,PWC AA,PWC AA
UK Public Bills,PWC AA,PWC AA
UK Public Bills,PWC AA,Prince of Wales's consent decision
UK Public Bills,Prince of Wales's consent decision,PWC AA
UK Public Bills,Prince of Wales's consent decision,PWC AB
UK Public Bills,PWC AB,PWC AB
UK Public Bills,PWC AB,PWC AA
UK Public Bills,PWC AA,PWC AB
UK Public Bills,PWC AA,PWC AC
UK Public Bills,PWC AC,Prince of Wales's consent declined
UK Public Bills,Prince of Wales's consent declined,PWC AA
UK Public Bills,PWC AA,PWC AB
UK Public Bills,PWC AB,Prince of Wales's consent signified
UK Public Bills,Prince of Wales's consent signified,PWC AA
UK Public Bills,Prince of Wales?s consent required,PWC AC
UK Public Bills,Prince of Wales's consent signified,PWC AC
UK Public Bills,PWC AC,PL AC
UK Public Bills,QC AB,QC AA
UK Public Bills,QC AA,Queen?s consent decision
UK Public Bills,Queen?s consent decision,QC AB
UK Public Bills,QC AB,QC AC
UK Public Bills,QC AC,QC AA
UK Public Bills,QC AA,QC AB
UK Public Bills,QC AA,QC AC
UK Public Bills,QC AC,Queen?s consent declined
UK Public Bills,Queen?s consent declined,QC AA
UK Public Bills,QC AB,Queen?s consent signified
UK Public Bills,Queen?s consent signified,QC AA
UK Public Bills,QC AA,QC AB
UK Public Bills,Queen?s consent required,QA AC
UK Public Bills,Queen?s consent signified,QA AC
UK Public Bills,QA AC,PL AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Joint Committee on Human Rights (JCHR),Government response to the decision made by the Joint Committee on Human Rights (JCHR)
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AS,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AT,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AU,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
