route_id,route_triplestore_id,from_step_name,to_step_name,procedure_count,procedures
10682,AZ71ttYT,ALM AB,JCSISR AA,2,Draft affirmative | Enhanced affirmative: Investigatory Powers Act 2016
11718,ctcwzyjn,DN AR,DNCMC AA,2,Draft negative | Draft negative - Commons motion to consider
11740,SMUZlblI,DNCM AA,DNCMC AE,2,Draft negative | Draft negative - Commons motion to consider
11743,43illG6p,DNCM AD,DNCMC AE,2,Draft negative | Draft negative - Commons motion to consider
13374,Lds03PoK,DNCM AF,DNCM AA,2,Draft negative | Draft negative: Commons motions
13375,erwQXy04,DNCM AA,Non-fatal motion (prayer) to object to the instrument tabled,2,Draft negative | Draft negative: Commons motions
13376,iW0Wtkpy,Non-fatal motion (prayer) to object to the instrument tabled,DNCM AA,2,Draft negative | Draft negative: Commons motions
13377,VdmEzk55,DNCM AA,DNCM AA,2,Draft negative | Draft negative: Commons motions
13378,aIbejXrh,DNCM AA,DNCM AA,2,Draft negative | Draft negative: Commons motions
13379,tKhIsrwC,DNCM AA,DNCM AB,2,Draft negative | Draft negative: Commons motions
13380,w1nL2CyE,DNCM AA,DNCM AC,2,Draft negative | Draft negative: Commons motions
13381,J2HKv4AW,DNCM AA,DNCM AD,2,Draft negative | Draft negative: Commons motions
13382,fRA7jc9Y,DNCM AA,DNCM AE,2,Draft negative | Draft negative: Commons motions
13383,YP5oRY7x,DNCM AA,DNCM AA,2,Draft negative | Draft negative: Commons motions
13384,biaPgLnI,DNCM AB,Non-fatal motion (prayer) to object to the instrument withdrawn,2,Draft negative | Draft negative: Commons motions
13385,mY4CrJaI,Non-fatal motion (prayer) to object to the instrument withdrawn,DNCM AA,2,Draft negative | Draft negative: Commons motions
13386,RJeAnlny,DNCM AA,DNCM AA,2,Draft negative | Draft negative: Commons motions
13387,wqI0TSDb,DNCM AC,Non-fatal motion (prayer) to object to the instrument lapsed at end of session,2,Draft negative | Draft negative: Commons motions
13388,4PyRLrjX,Non-fatal motion (prayer) to object to the instrument lapsed at end of session,DNCM AB,2,Draft negative | Draft negative: Commons motions
13389,ILDFrpQb,DNCM AB,DNCM AA,2,Draft negative | Draft negative: Commons motions
13390,5Efb6ey4,DNCM AD,Non-fatal motion (prayer) to object to the instrument not moved,2,Draft negative | Draft negative: Commons motions
13391,8fhZf3PO,Non-fatal motion (prayer) to object to the instrument not moved,DNCM AC,2,Draft negative | Draft negative: Commons motions
13392,OLI4nAoK,DNCM AC,DNCM AB,2,Draft negative | Draft negative: Commons motions
13393,jokrPJfB,DNCM AE,Non-fatal motion (prayer) to object to the instrument not called,2,Draft negative | Draft negative: Commons motions
13394,8p3XQZf1,Non-fatal motion (prayer) to object to the instrument not called,DNCM AD,2,Draft negative | Draft negative: Commons motions
13395,vSdfkyKA,DNCM AD,DNCM AC,2,Draft negative | Draft negative: Commons motions
13396,6Yhtdl45,Question on a non-fatal motion (prayer) to object to the instrument put,DNCM AD,2,Draft negative | Draft negative: Commons motions
13397,hzoFhVqy,Delegated Legislation Committee (DLC) debate,DNCM AC,2,Draft negative | Draft negative: Commons motions
13398,KOpMiza2,Chamber debate,DNCM AC,2,Draft negative | Draft negative: Commons motions
13399,mSoAILDf,DNCM AC,DNCM AB,2,Draft negative | Draft negative: Commons motions
13400,1vgpAaYd,DNCM AB,DNCM AB,2,Draft negative | Draft negative: Commons motions
13401,f1zPiV2d,DNCM AD,DNCM AB,2,Draft negative | Draft negative: Commons motions
