Parliament,Number in Parliament,Start date,End date,Citation,Regnal year citation,Wikidata Id
1,1,22/01/1801,02/07/1801,1801-01,41 Geo. 3,Q108997882
1,2,29/10/1801,28/06/1802,1801-02,42 Geo. 3,Q108997881
2,1,16/11/1802,12/08/1803,1802-03,43 Geo. 3,Q108997880
2,2,22/11/1803,31/07/1804,1803-04,44 Geo. 3,Q108997879
2,3,15/01/1805,12/07/1805,1805-05,45 Geo. 3,Q108997878
2,4,21/01/1806,23/07/1806,1806-06,46 Geo. 3,Q108997877
3,1,15/12/1806,27/04/1807,1806-07,47 Geo. 3,Q108997876
4,1,22/06/1807,14/08/1807,1807-07,47 Geo. 3,Q108997875
4,2,21/01/1808,04/07/1808,1808-08,48 Geo. 3,Q108997874
4,3,19/01/1809,21/06/1809,1809-09,49 Geo. 3,Q108997873
4,4,23/01/1810,21/06/1810,1810-10,50 Geo. 3,Q108997872
4,5,01/11/1810,24/07/1811,1810-11,51 Geo. 3,Q108997871
4,6,07/01/1812,30/07/1812,1812-12,52 Geo. 3,Q108997870
5,1,24/11/1812,22/07/1813,1812-13,53 Geo. 3,Q108997869
5,2,04/11/1813,30/07/1814,1813-14,54 Geo. 3,Q108997868
5,3,08/11/1814,12/07/1815,1814-15,55 Geo. 3,Q108997867
5,4,01/02/1816,02/07/1816,1816-16,56 Geo. 3,Q108997866
5,5,28/01/1817,12/07/1817,1817-17,57 Geo. 3,Q108997865
5,6,27/01/1818,10/06/1818,1818-18,58 Geo. 3,Q108997864
6,1,14/01/1819,13/07/1819,1819-19,59 Geo. 3,Q108997863
6,2,23/11/1819,28/02/1820,1819-20,60 Geo. 3 & 1 Geo. 4,Q108997862
7,1,21/04/1820,23/11/1820,1820-20,1 Geo. 4,Q108997855
7,2,23/01/1821,11/07/1821,1821-21,1 & 2 Geo. 4,Q108997842
7,3,05/02/1822,06/08/1822,1822-22,3 Geo. 4,Q108997828
7,4,04/02/1823,19/07/1823,1823-23,4 Geo. 4,Q108997815
7,5,03/02/1824,25/06/1824,1824-24,5 Geo. 4,Q108997803
7,6,03/02/1825,06/07/1825,1825-25,6 Geo. 4,Q108997790
7,7,02/02/1826,31/05/1826,1826-26,7 Geo. 4,Q108997775
8,1,14/11/1826,02/07/1827,1826-27,7 & 8 Geo. 4,Q108997764
8,2,29/01/1828,28/07/1828,1828-28,9 Geo. 4,Q108997763
8,3,05/02/1829,24/06/1829,1829-29,10 Geo. 4,Q108997762
8,4,04/02/1830,04/06/1830,1830-30,11 Geo. 4,Q108997761
9,1,26/10/1830,22/04/1831,1830-31,1 Will. 4,Q108997760
10,1,14/06/1831,20/10/1831,1831-31,1 & 2 Will. 4,Q108997759
10,2,06/12/1831,16/08/1832,1831-32,2 & 3 Will. 4,Q108997758
11,1,29/01/1833,29/08/1833,1833-33,3 & 4 Will. 4,Q108997757
11,2,04/02/1834,15/08/1834,1834-34,4 & 5 Will. 4,Q108997756
