On beta,Route,What it is,Page type
,,,
✓,/,The homepage (whatever),Whatever
,,,
✓,/mps,Gateway page for members of the House of Commons,Gateway page
,,,
✓,/search,The search form,Search form
,,,
✓,/people,All the people,Paginated list
✓,/people/lookup?source=:source&id=:id,Provides a way to look up a person from a foreign identifier eg /lookup?source=wikidata&id=Q574980,Redirect
,/people/:letters,Provides a way to look up a person from a name match. Redirect to person page if unique match else to list,Redirect
✓,/people/a-z,Namespace for navigation of all people,Namespace
✓,/people/a-z/:letters,List of people with name starting with / matching the letter pattern,Paginated list
✓,/people/members,All members of either house ever,Paginated list
✓,/people/members/a-z,Namespace for navigation of all members,Namespace
✓,/people/members/a-z/:letters,List of members with name starting with / matching the letter pattern,Paginated list
✓,/people/members/current,Current members of either house,Paginated list
✓,/people/members/current/a-z,Namespace for navigation of current members,Namespace
✓,/people/members/current/a-z/:letters,List of current members with name starting with / matching the letter pattern,Paginated list
✓,/people/:person,A person page. Might be a member or an ex member or never a member,Thing page
✓,/people/:person/parties,List of party memberships of a person over time,Paginated list
✓,/people/:person/parties/current,Person's current party...,Paginated list
✓,/people/:person/contact-points,List of person's contact points,Paginated list
,/people/:person/associations,"List of a person's membership of and incumbencies in positions in goverment, opposition and parliament. Including incumbencies in constituency seats where applicable.",Paginated list
,/people/:person/associations/grouped-by,"List of types of groups a person is or has been incumbent in a position in or has been affiliated to. Should include a link to the constituency list where the person has a link with a constituency via a house seat.",Paginated list
,/people/:person/associations/grouped-by/government,"List of a person's incumbencies in government positions",Paginated list
,/people/:person/associations/grouped-by/opposition,"List of a person's incumbencies in opposition positions",Paginated list
,/people/:person/associations/grouped-by/formal-bodies,"List of a person's incumbencies in formal bodies and memberships of formal bodies",Paginated list
✓,/people/:person/constituencies,List of constituencies represented by a person over time,Paginated list
✓,/people/:person/constituencies/current,Person's current constituency...,Paginated list
✓,/people/:person/houses,List of houses a person has been in over time,Paginated list
✓,/people/:person/houses/current,Person's current house...,Paginated list
✓,/people/:person/committees,"All a person's memberships, roles on and eventually interactions with committees",Transcluded page
✓,/people/:person/committees/memberships,All a person's memberships of any committee ever. Grouped by committee. Decorated with membership type,Paginated list
✓,/people/:person/committees/memberships/current,All a person's current memberships of any committee. Grouped by committee. Decorated with membership type,Paginated list
,/people/:person/committees/chairs,All a person's current chairships of any committee. Grouped by committee,Paginated list
,/people/:person/government-positions, All the government organisation positions a person has occupied ever. Decorated with a organisation, Paginated list
,/people/:person/government-positions/current, All the government organisation positions a person is currently occupying. Decorated with an organisation, Paginated list
,/people/:person/questions,All parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/withdrawn,All withdrawn parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/answered,All (substantively) answered parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/unanswered,All non-withdrawn parliamentary questions tabled by a Member awaiting a substantive answer (including those with only a holding answer),Paginated list
✓,/people/:person/questions/written,All written parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/written/withdrawn,All withdrawn written parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/written/answered,All (substantively) answered written parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/written/answered/answer-types,"A list of answer types for a question applicable to a Member: holding, substantive, corrected, prorogation",Paginated list
,/people/:person/questions/written/answered/answer-types/:answer-type,"All answered written parliamentary questions tabled by a Member where the latest answer is of type specified. Possible values of answer type are holding, substantive, corrective, prorogation",Paginated list
,/people/:person/questions/written/unanswered,All non-withdrawn written parliamentary questions tabled by a Member awaiting a substantive answer (including those with only a holding answer),Paginated list
,/people/:person/questions/oral,All oral parliamentary questions tabled by a Member ever,Paginated list
,/people/:person/questions/oral/question-types,A list of question types applicable for a Member for tabled oral questions. Values are substantive or non-substantive,Paginated list
